school_zone,public_school_enrollment,private,total
58,1889.0893672316772,2316.5956494979941,4205.685016729672
59,2253.194000915546,5552.1100685766205,7805.3040694921665
60,1708.6534669892144,95.730679020196106,1804.3841460094104
61,1679.5239311727,2159.9667241183797,3839.49065529108
62,1624.1858948837582,2685.3900956087018,4309.57599049246
63,21.085293077179301,398.11050635159597,419.1957994287753
64,1229.1230726961116,3189.8867317575914,4419.009804453703
65,795.99166061611709,11236.726672304745,12032.718332920862
66,2344.6565225271725,1749.1911013709598,4093.847623898132
67,299.44117723151032,1007.6034205807134,1307.044597812224
68,1877.152293332128,2427.5602700365594,4304.712563368687
69,304.29645455580101,3968.9605950753416,4273.257049631143
70,1091.2640314060516,12643.735976896387,13735.00000830244
71,255.90539109478394,5757.8552681194833,6013.760659214267
72,4533.2875483111648,2184.3311079752366,6717.618656286401
73,85.466643192465597,396.3526510629622,481.81929425542774
74,0,8493.3854675195162,8493.385467519516
75,0,992.02387383861799,992.0238738386179
76,0,2274.4106943406591,2274.410694340659
77,1869.1554736785099,3309.4366057772895,5178.5920794558
78,0,716.91598230795739,716.9159823079574
79,297.35561052192924,5651.5920971574615,5948.947707679391
80,2047.3243593778143,1715.3573162331033,3762.6816756109174
81,0,2337.520597775751,2337.520597775751
82,1410.7746653791003,3636.6421227240321,5047.416788103133
83,3889.9347436654139,3987.4806285279301,7877.415372193344
84,351.29782857986896,13293.802962536829,13645.100791116698
85,320.960665506358,2307.4752839291627,2628.435949435521
86,749.05216115704332,698.2123379986873,1447.2644991557306
87,117.8789673973624,2095.3876545616367,2213.266621958999
88,1431.926303812194,2748.8858724073175,4180.8121762195115
89,440.28886506256447,182.7530711667228,623.0419362292873
90,510.14280629152495,3413.0123933483496,3923.1551996398753
91,982.13828676946298,12645.150677753978,13627.28896452344
92,1021.8414061736673,1411.4122044621877,2433.253610635855
93,1213.9743209773785,38523.563150481052,39737.53747145843
94,0,2450.3617364207648,2450.361736420765
95,125.24707505560761,2243.8276718045481,2369.074746860156
96,490.56463168864263,2294.1309134255407,2784.6955451141835
97,100.2120781591444,505.43430365494623,605.6463818140907
98,993.42010679111627,0,993.4201067911163
99,374.39611711433031,484.97689129383906,859.3730084081694
100,3228.6540091633192,10283.140703697862,13511.79471286118
101,1203.6910871401174,1577.201923454676,2780.8930105947934
102,1540.8062560156616,1046.1878363552887,2586.99409237095
103,0,59.218634875433494,59.218634875433494
104,1261.0084015546774,252.7409193331662,1513.7493208878436
105,897.16415122757326,1351.331678500253,2248.4958297278263
106,135.78518462817729,165.67340627825888,301.45859090643614
107,1150.6841114371282,8836.6113004747258,9987.295411911855
108,557.9072535799595,283.52027572575997,841.4275293057193
109,12996.502608770863,4731.9798418418468,17728.48245061271
110,3817.7001088098109,9865.2753320582506,13682.975440868062
111,7435.2517584563539,1070.8251610782111,8506.076919534566
112,5997.0773128351611,1263.5664357315336,7260.643748566695
113,7347.4213376822318,1105.341308319609,8452.76264600184
114,-,-,0
115,13604.535572900524,2770.8692452676482,16375.404818168172
116,35766.611511418334,3503.6789828249575,39270.290494243294
117,9169.2709907503067,1715.6584741847309,10884.929464935038
118,2357.4244310345211,0,2357.424431034521
119,23898.248936849704,2581.6137172825611,26479.862654132263
120,-,-,0
121,18694.631564618976,2022.1855552209199,20716.817119839896
122,6441.1387322954715,0,6441.1387322954715
123,8676.3089856117531,99.393012328872899,8775.701997940627
124,21847.445046489,3924.8863483619771,25772.331394850975
125,10575.14421174565,1049.2471170660319,11624.391328811682
126,4919.4296112335533,3016.4670584162172,7935.89666964977
127,13218.665482742015,5462.0566933288792,18680.722176070893
128,546.18722522859616,3089.5389716734726,3635.7261969020688
129,645.36003132673261,149.60687744905417,794.9669087757869
130,443.72151866602519,195.18906319776801,638.9105818637931
131,648.57351765981446,2330.8105144272345,2979.384032087049
132,42.827584294529665,338.28499638904498,381.11258068357466
133,2701.5409951085226,10477.470353031975,13179.011348140495
134,2854.154140445979,4896.8329751581432,7750.987115604124
135,4676.0871116912831,3145.2350005962371,7821.32211228752
136,3528.8380691520974,1838.9046804837603,5367.742749635858
137,5552.1150461396828,4034.481107646136,9586.596153785818
138,1168.3091682388824,644.34121072838798,1812.6503789672704
139,4144.7929860126624,3133.8977959637505,7278.690781976413
140,4630.826015373118,3720.7629818471119,8351.58899722023
141,10116.608303634759,4422.3477971367001,14538.956100771458
142,3734.7669830246627,233.808869803043,3968.5758528277056
143,-,-,0
144,11260.309014476126,5705.2358936553974,16965.544908131524
145,2565.4506414426232,2310.3490884217404,4875.799729864364
146,-,-,0
147,2293.7130616903291,1625.3152536701994,3919.0283153605287
148,2730.2797584577147,1348.0270856033644,4078.306844061079
149,-,-,0
150,10829.77925946462,673.60966954596199,11503.388929010582
151,13712.948281538753,364.18849252501781,14077.136774063772
152,1946.9448047166084,2012.335570621711,3959.28037533832
153,2588.4908430541027,1043.1951405828192,3631.685983636922
154,12409.913665001977,5856.6085277314523,18266.522192733428
155,1913.7128838809738,70.225925741471997,1983.9388096224457
156,9535.0049199362802,2763.7335709842282,12298.738490920508
157,4438.618596650831,160.59268895358201,4599.211285604413
158,8820.3877317580191,1116.7952464400209,9937.18297819804
159,6421.3378214764525,1633.1887610865622,8054.526582563014
160,3415.2885272643762,2941.2817297146412,6356.570256979017
161,6206.269398043959,70.652961612809406,6276.922359656768
