residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
152,112093896.93580534,7842.024411347784,3128.8420961258657,7500
153,75641205.04407929,11356.515185430626,4434.613650939749,7646.47472233248
154,133998957.19934209,6980.203010852846,2726.3266978502957,6099.055973565982
155,48408968.638990715,4898.205872608581,1616.4341070853047,4000
156,77299281.59376441,5023.674634026418,1818.37877190695,5024.091899104776
157,31348290.002880473,5269.505799778201,1839.5804238530868,4233.86783394358
158,100796521.79848395,4950.226981557998,1820.6148724529291,3910
159,128066677.90509994,5670.179664619675,2051.331516475791,4742.216118682415
160,109350745.75161836,5720.976548687788,2305.275550787781,4050
161,75781703.69381332,4294.310857018944,1583.767763042346,3668.7723479371098
162,30906301.97437643,4993.747289445215,1936.970542390099,4000
163,115318286.14748716,7081.69283637235,2723.88242033936,6150
164,13362015.223374512,4097.520767670814,1661.3222955830554,3540.4177229514085
165,6839926.86569139,5162.208955238785,1945.925139599257,4526.083952625995
166,135115468.24579072,10462.712424174586,4367.015780406939,8795.539526723149
167,71591926.90113407,11361.99442963561,4601.319294372008,8450.455
168,89475982.36416578,8395.19444212476,3525.3135165740414,7646.47472233248
169,87887135.47553407,7474.667075653527,3012.8255965011163,5907.540637295537
170,107280002.87456332,6957.649839455429,2544.169679478347,5100
171,100146943.69697332,6693.866967246398,2560.3206876383333,5889.540637295537
172,55633920.728431165,5493.623059981359,2103.839083664768,4367.73566788716
173,64993829.38821592,6164.642832990215,2319.7997425925655,5779.081274591074
174,73121280.7152473,4291.406814675006,1559.022658207483,3797.12697292281
175,67532105.25868182,5034.8248161247875,1842.019127671208,4367.73566788716
176,70805964.88810308,4058.8114008657626,1517.6500886958113,3600
177,19637406.446975313,3753.3269202934425,1357.9563271540894,3540.4177229514085
178,,,,
179,,,,
180,94133934.365706,3793.275885142888,1373.636480405464,3301.063604765382
181,99826583.27180868,5877.337843497711,2142.43123235988,5140
182,90949837.65108249,5448.055448130021,1982.8603307552653,4875
183,88541013.26242125,5417.0090708119415,1914.5658708303697,5000
184,54830560.18713253,6655.001843322324,2314.893193748736,5550
185,38197280.81929612,4069.822675352245,1445.0057055041282,3340.5318023826912
186,20103376.868539702,5486.729494688777,1988.2679130194529,5012.045949552388
187,55618142.0724961,3290.7147594322273,1146.175004069986,2820
188,52581488.76267126,5186.062606043138,1827.84053820945,4000
189,78921690.06345306,4358.38800880567,1581.4385344845807,3668.7723479371098
190,87759188.33339238,6342.127431500805,2417.142378422684,6000
191,,,,
192,82121730.65297933,5885.343614047934,2171.2114494614216,3700
193,37551790.01611325,4299.495078556597,1491.867228799541,3797.12697292281
