work_zone,external_work_jobs,internal_work,total
390,1420.5663331363687,14946.38357489124,16366.949908027607
391,128.166666666667,3354.6122575356912,3482.778924202358
392,0,186.409514289405,186.409514289405
393,0,310.497346627156,310.497346627156
394,3086.1866587310014,24239.55841719268,27325.74507592368
395,0,348.737659258332,348.737659258332
396,5289.9769155476215,19216.950977616852,24506.927893164473
397,329.8870209730645,2929.5439489399523,3259.4309699130167
398,4446.598926063528,35385.943891747134,39832.54281781066
399,3167.2851162081593,31384.20158618364,34551.4867023918
400,2429.3203715786512,24351.40400695603,26780.72437853468
401,5850.248788516936,28918.67405105076,34768.92283956769
402,3432.7380458647467,17085.90425131925,20518.642297183997
403,4337.7016541190615,27594.332832662098,31932.034486781155
404,10302.058874716451,58586.55895950716,68888.61783422361
405,1138.7240453264633,8217.645581644541,9356.369626971005
406,442.58371212925704,4619.589135673801,5062.172847803058
407,3807.7871308535055,40294.3520426243,44102.1391734778
408,2550.8737279915968,26997.518801982245,29548.39252997384
409,2297.175442352568,20738.367650516033,23035.5430928686
410,2392.3423675975682,37176.09964342139,39568.44201101895
411,3149.274518231992,10105.20547067114,13254.479988903133
412,1077.921123490616,9082.414363521895,10160.335487012511
413,1090.452181093492,5563.859343576682,6654.311524670174
414,167.875,5182.807836647245,5350.682836647245
415,2199.5254155211533,15055.183776164064,17254.70919168522
416,217.838502475413,7006.753775677896,7224.592278153309
417,0,221.259522837613,221.259522837613
418,576.066051389589,5948.399063223207,6524.465114612796
419,0,86.2660412242162,86.2660412242162
420,0,4787.740094507673,4787.740094507673
421,0,0,0
422,1422.6737371444904,12767.199819006384,14189.873556150877
423,0,0,0
424,2022.7497072698995,22326.62980241217,24349.379509682072
425,2222.3476429291422,18648.97480111408,20871.322444043224
426,907.4916961535549,8468.098744357716,9375.59044051127
427,357.1267866232546,11776.545975933252,12133.672762556504
428,1522.1081120632564,42597.02495986527,44119.133071928525
429,4471.07314401745,104830.50500190398,109301.57814592143
430,265.48361353413,11978.065440700027,12243.549054234158
431,223.321005243337,7772.677570683456,7995.998575926794
432,975.8404314004019,3538.7436038077726,4514.584035208174
433,3337.8161192215293,17457.830717604473,20795.646836826003
434,984.9475641249697,23922.88669366762,24907.83425779259
435,391.872842259923,17175.266767833917,17567.13961009384
436,1605.7459354086309,23875.198640174895,25480.94457558353
437,456.599397648462,18923.53168894249,19380.13108659095
438,5849.22728643987,44104.887140270934,49954.1144267108
439,4223.417560961052,34721.10825882905,38944.525819790106
440,4440.749394255322,18670.517528565593,23111.266922820916
441,117.63504096202368,1877.6840935133,1995.3191344753232
442,4189.999695435922,36889.20454303659,41079.204238472514
443,5358.976061558783,55677.38396464922,61036.360026208
444,3908.1613975330265,27175.05938372137,31083.220781254397
445,3258.368739838943,8952.21593549699,12210.584675335933
446,321.454547569019,3334.062003985209,3655.516551554227
447,4762.87024924003,40604.543069731546,45367.41331897158
448,947.6970393205069,4817.059684171795,5764.756723492302
449,1264.9859331400098,2648.800377301137,3913.7863104411463
450,203.1081537356316,2556.5715797488547,2759.6797334844864
451,0,12395.884489399928,12395.884489399928
452,7358.430149042469,52926.28810544253,60284.718254485
453,2136.8105779184625,33928.52685599305,36065.33743391151
454,795.3514411287499,30963.5107119581,31758.86215308685
455,2533.6596374534047,42405.392904306194,44939.0525417596
456,2958.493915196858,61573.97557430542,64532.46948950228
457,4550.327710842829,31558.046841069117,36108.37455191195
458,5650.186238454484,40704.538637845326,46354.724876299806
459,1718.329961805473,10487.756607333768,12206.086569139245
460,901.2425902332552,3372.0031074303715,4273.245697663627
461,286.57895818107,91.30173701541169,377.8806951964818
462,6074.867169991533,31347.07157977475,37421.93874976629
463,7007.398419918939,51557.527114522,58564.92553444094
464,3237.315768737973,34520.1866821593,37757.50245089727
465,3792.6395932591727,27677.947801672115,31470.587394931288
466,0,20920.55474557767,20920.55474557767
467,2484.6207424417253,18660.710889338465,21145.33163178019
468,790.751679205514,32357.960635163352,33148.712314368866
469,2961.44120191232,11550.255190095324,14511.696392007643
470,2633.79534760863,30577.464357478017,33211.259705086646
471,2727.000245990694,14778.850211779696,17505.85045777039
472,3523.734997494666,5916.1252652372905,9439.860262731956
473,4140.436611442217,23753.55512457717,27893.991736019387
474,3440.2095663378645,32548.250878701812,35988.46044503968
475,656.392051260498,6868.934549389004,7525.326600649502
476,5402.2015674455315,49192.01882211664,54594.22038956217
477,165.6544495629374,2727.305395927918,2892.9598454908555
478,396.07742927064,3710.2414198747274,4106.3188491453675
479,545.3444668057049,6947.650888690284,7492.995355495988
480,412.9782335965168,19771.89030288609,20184.86853648261
481,825.436838609013,4824.471315140763,5649.908153749776
482,99.1677513059154,664.6875685972354,763.8553199031509
483,374.94145283925434,9339.838491194867,9714.77994403412
484,0,0,0
485,0,0,0
486,8509.159427137787,64764.22195481136,73273.38138194915
487,2180.418961551268,48778.084194146315,50958.50315569758
488,4853.07033442131,82568.51078385269,87421.581118274
489,626.526366001983,7075.0897384323625,7701.616104434345
490,1664.8198497824478,10483.57591300228,12148.395762784729
491,3111.56619856457,14248.019469776867,17359.58566834144
492,1642.841478965984,12216.45755102761,13859.299029993594
493,0,8642.155784644328,8642.155784644328
494,5951.489897316926,22236.021544819065,28187.51144213599
495,4200.144016926356,22292.419741889767,26492.563758816123
496,4608.602210126592,16950.586015891295,21559.188226017886
497,1588.028750555494,8589.030202059546,10177.05895261504
498,1344.954126570625,15759.176376382464,17104.13050295309
499,3295.298255179664,42214.54352143637,45509.841776616035
500,2712.6986139446167,32736.14714389562,35448.84575784024
501,465.07260665281507,16768.924893025687,17233.997499678502
502,4954.831622114647,32806.890176850946,37761.72179896559
503,538.4786588117711,9522.081080982707,10060.559739794478
504,1145.371392266823,12850.93615531131,13996.307547578132
