origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
246,15867.406698970379,0,0,0,0,0,0,0,0,15867.40669897038
247,37554.199263882947,0,0,0,0,0,0,0,71.015108515321486,37625.214372398266
248,-,-,-,-,-,-,-,-,-,0
249,19741.596316895299,323.83052846752423,0,0,0,0,0,0,0,20065.42684536282
250,7571.856178750616,0,0,0,0,0,0,0,78.675033024952683,7650.531211775568
251,7278.2929514625657,323.83052846752423,0,0,0,0,209.07708817610478,0,0,7811.2005681061955
252,5803.3412679236671,0,0,0,207.98620172033498,0,0,0,71.015108515321486,6082.342578159323
253,3970.9219854812859,70.494425461633739,0,20.531337322531694,0,0,115.6519180773702,0,0,4177.599666342821
254,13494.610847325966,223.651124679134,0,20.531337322531694,0,0,861.04423204039119,0,0,14599.837541368022
255,28659.156221277477,0,0,0,0,0,855.41182627045123,0,0,29514.568047547928
256,11531.052188406995,1599.0634179960175,0,0,0,0,890.21690740491704,0,0,14020.332513807933
257,12860.476406280633,0,0,0,0,0,0,0,0,12860.476406280632
258,29685.814145613433,3225.3744745911881,0,0,0,0,709.30712033414204,0,0,33620.49574053876
259,9441.2982293049281,2833.7100457911906,0,0,0,0,0,0,0,12275.00827509612
260,20426.76844774522,0,0,0,0,0,0,0,0,20426.76844774522
261,22449.315588697078,303.05298760581314,0,0,0,0,709.30712033414204,0,0,23461.67569663703
262,28511.24822828043,0,0,0,0,0,0,0,0,28511.24822828043
263,43609.100232394747,303.05298760581314,0,1005.2000683631121,0,0,400.50818873428062,0,0,45317.861477097955
264,27213.785384208324,723.47161794002307,91.525171430375849,647.95672551515065,0,0,330.23967883421096,0,0,29006.978577928086
265,27688.589815410953,0,713.7511786223921,0,0,0,0,0,0,28402.340994033344
266,8561.367351122637,0,0,0,0,0,185.9185884206068,0,0,8747.285939543244
267,16957.92443449593,0,0,1533.7313114059407,219.21716514518485,0,0,0,0,18710.872911047056
268,3066.3514834046714,33.358144690443602,0,0,0,0,70.649604685385128,0,110.24597638778896,3280.605209168289
269,13808.826721798423,0,385.86030484035518,0,0,0,146.60438267265744,0,66.716289380887204,14408.007698692323
270,4016.7609755783869,0,0,0,0,0,653.9259633416749,0,0,4670.686938920062
271,542.0936932539845,0,0,0,0,0,0,0,0,542.0936932539845
272,4341.615584938485,0,272.15589472251264,0,0,0,250.8791022656832,0,202.446203874454,5067.096785801135
273,21732.895496815454,159.57461088524192,0,0,0,0,1563.764771940532,0,229.95044584460186,23686.185325485832
274,13611.953959428283,0,272.15589472251264,0,0,0,713.82469638129692,0,781.57018489738266,15379.504735429477
275,11418.366855656775,0,0,404.859965851889,0,0,0,0,2367.5211551057155,14190.74797661438
276,27382.685983173546,2697.9835593191365,0,0,0,0,1850.9694397744472,0,0,31931.638982267126
277,7773.2221709672658,192.93275557568552,0,0,0,0,0,0,0,7966.15492654295
278,66153.301212338032,1757.3932981555254,1602.2271775432823,931.88788756034035,0,0,686.58163408397513,0,1080.9281035352731,72212.31931321645
279,21538.143139087362,743.15471178850737,0,0,0,0,0,0,0,22281.297850875868
280,6533.25872037516,0,0,0,0,0,241.12888415003471,0,0,6774.387604525195
281,9083.0836607028232,0,0,236.08957664241333,0,0,1074.4761408171209,0,0,10393.649378162358
282,13137.551582695432,0,0,465.41650492688177,0,361.97584572367776,1074.4761408171209,0,0,15039.420074163114
283,4100.7335273226363,0,0,0,0,0,241.12888415003471,0,496.52633954775774,4838.388751020429
284,11793.141707330627,192.11501499378767,0,0,0,4489.7155505990931,135.54193728925537,0,0,16610.51421021276
285,17945.597954284371,1276.3949792816315,1602.2271775432823,497.32282892566928,0,0,0,0,0,21321.542940034953
286,2737.6355972691672,0,0,0,0,0,566.16384229128948,0,0,3303.7994395604564
287,8815.4438507200448,0,0,0,0,0,460.12562305641899,0,0,9275.569473776464
288,11954.391110513472,513.07224371580207,0,0,0,0,60.429557387413006,0,0,12527.892911616687
289,16962.768786672983,0,0,0,0,0,60.429557387413006,0,0,17023.198344060394
290,10438.043459815168,0,0,0,0,0,0,0,496.52633954775774,10934.569799362926
291,17057.685162518079,0,0,0,0,0,0,0,0,17057.68516251808
292,36320.402690027331,0,0,0,0,0,0,0,0,36320.40269002733
293,23428.520093938205,0,0,0,0,0,0,0,0,23428.520093938205
294,47849.820178252172,1433.1801082704148,0,0,0,0,0,0,0,49283.00028652258
295,56285.419453220398,0,0,0,0,0,0,0,0,56285.4194532204
296,2634.9707852097918,0,0,0,0,0,0,0,0,2634.970785209792
297,283.83696615063656,0,0,0,0,0,0,0,0,283.83696615063656
298,67930.995491415291,7077.776482448764,646.55592064483051,0,0,0,173.91597681047162,0,1031.2093753737943,76860.45324669316
299,858.87943136344109,0,0,0,0,0,0,0,0,858.8794313634411
300,-,-,-,-,-,-,-,-,-,0
301,17141.469780412568,0,0,0,0,0,92.360484197219165,0,0,17233.830264609787
302,3085.3327239421405,0,0,0,0,0,1128.8007226240302,0,0,4214.133446566171
303,7135.0543277403121,41.465071002436858,0,0,0,0,0,0,0,7176.519398742749
304,3080.4482382604365,0,0,0,0,0,106.02318765123013,0,0,3186.4714259116668
305,30272.794671810461,835.23250934080625,292.25186910213699,0,0,0,0,0,0,31400.279050253404
306,52657.488574019895,412.99676835285817,7850.2945898956896,0,0,0,1023.7519084376561,0,1045.4461142918078,62989.97795499791
307,14643.436325853341,0,0,310.48213472476732,0,0,0,0,0,14953.918460578108
308,51441.902111838914,1796.6254484969188,0,0,0,0,0,0,0,53238.52756033583
309,31476.498905851033,0,0,0,0,0,0,0,0,31476.498905851033
