origin_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
83,3879.6382905128899,4370.9740199120333,30513.937656457601,17507.765180088023,1616.9297127007114,1080.6513193096471,4370.6209895568636,35.791697704671911,2610.4299692655663,2427.00824079424,68413.74707630224
84,641.04354003770061,4012.0341550322901,17581.422141930921,18095.459670820848,1305.5358406054625,568.41116494289986,1865.5459974750643,0,2553.7364747012421,1732.21938199593,48355.40836754236
85,447.13252833374611,256.87268321307579,3859.4848590896568,5313.4269983179083,1132.1947720930525,382.16364198354324,652.25060264315584,0,634.56652322241905,340.32723178383168,13018.419840680388
86,394.59339283250119,1069.5699013249043,3172.8788290291891,1516.0539417648408,193.96211454744341,237.81284000232841,590.33240774328374,0,234.74163053713488,0,7409.945057781626
87,269.95362398859993,2030.6168560698845,15566.343656385054,8740.0911338258684,1416.0676730460982,2173.3623697698213,3162.7785152566089,93.162995604484124,3232.7664605015802,135.98374723075455,36821.12703167875
88,2122.4514305335783,8083.7039596846316,34741.394492040774,20826.732888510727,3723.3741805816981,3957.2916536961889,5379.2780129020975,0,4899.9281882389514,1404.0692248809748,85138.22403106962
89,890.9841186465992,385.25445504751337,6087.322787187175,4097.8165623057057,964.72105515799092,986.88408629369894,502.25668821587101,0,496.61000490538697,0,14411.84975775994
90,1482.1100937729184,1867.5963314648498,9310.7603100273318,6454.3720133158868,1263.1369233848666,2082.8399721591863,2195.2124699459532,0,1701.8147497190093,239.86203826674517,26597.704902056747
91,5210.427337471202,5874.5120097843537,18605.833651096273,13473.679914511917,973.60028046011382,952.8313752550506,2616.8808154183948,600.42091168482114,4154.0223435939761,975.86645088975217,53438.075090165854
92,2004.3731296956009,2587.367287517055,20165.538233896208,4215.4459748245717,35.791697704671911,58.054070962990622,2306.31960963135,353.05855413293,7148.6873605584615,1624.2346671154319,40498.87058603927
93,1003.2335836895656,4759.5095758017596,29150.342315557984,19602.004355821213,2505.0317455178729,2684.2196615595058,5993.4202890118586,0,6635.9067618288418,1256.4154737132717,73590.08376250188
94,2143.4072401594758,6519.840225197996,16030.258225825011,3881.7113661316162,1211.9815567184569,1709.6582055800782,4772.305731287438,325.8817706546314,1121.5900726042555,1776.7969109125513,39493.431305071506
95,879.11874128733712,574.15580928986083,12225.398761726225,8665.3662644445121,777.00881675167557,670.5879158076541,3170.8589394474466,0,3581.3771079101298,220.15391551760001,30764.02627218244
96,444.54723703279558,865.17792672436599,12950.367103134271,9066.7354399018059,913.94994968555602,1613.8126819279209,1913.2943515387785,0,669.08700547146566,158.80602395487173,28595.77771937183
97,625.5359684791066,2556.379261814584,8427.5965626616307,6238.132726696962,1568.8133656831146,2556.4097300045987,2497.1460960207742,0,571.94142776271985,549.76180636466017,25591.716945488148
98,474.3786063353964,662.07771064444933,8842.1020045067762,5750.6024040139928,385.03496851450842,500.04217551569803,1217.0273142998929,374.79313991523844,2016.5302833045268,74.63220828615647,20297.220815336634
99,6453.8431286857058,2369.9518620147192,10053.29608998177,3830.1266209471733,2920.2453446719446,820.74790361681676,557.29285271000094,435.37627462221258,1550.9947751910167,840.92307409769523,29832.797926539057
100,4935.3706791889326,20756.124323536842,48042.533781049242,22842.128398450528,8235.1893002365559,12370.391424014222,4205.5076406899943,105.82754668932758,6157.3266652018838,2642.3618283596775,130292.7615874172
101,963.73206698967897,894.97040988990636,12560.271777984874,8609.6087262728288,730.7848503541934,1000.5441306081188,1150.8065052085603,0,475.33939671482568,0,26386.05786402299
102,913.10489023014759,1752.3214515086183,10876.743294451226,6775.7266531529731,418.51449602128741,2012.7471350687172,976.38001009291509,0,3425.9563321571168,24.166764981663253,27175.661027664657
103,157.49041068637578,629.83352687503213,3253.0633990165479,831.09986099811749,255.11376259507813,761.0355192468196,322.82987326466531,0,665.97804495734522,0,6876.444397639982
104,476.46658514493674,397.63990436552024,3132.9825192301873,4312.1705039910748,386.63529077432929,267.99303874971042,535.81600593966562,0,385.84882985095794,103.81250578112882,9999.36518382751
105,1363.4877835542106,1692.6256904772481,13615.933669763665,7319.8187222189445,1539.0362260771592,1103.5551281713419,1232.4145192816654,0,519.35106621179239,488.98907989618914,28875.211885652217
106,1937.8249119124182,7146.6356929660387,13363.143938487532,2154.9548166547065,2871.7066864294884,77.443278134343444,308.04797047653017,0,856.53716616759266,335.72044762227534,29052.014908850924
107,1052.1832780924824,2650.3200430453066,12806.488662595066,20559.451452859412,464.75393731622626,949.29818350168853,2777.4496929771408,0,972.02718096663102,431.42666406320632,42663.39909541716
108,725.83244261719005,6905.9133288990342,8768.0233944002866,2885.3554448293139,2014.973971501126,297.04043304996054,279.31890203666603,39.875784379226033,287.51018500143107,8.5640200778505395,22212.40790679209
109,9700.6241089423147,10159.520071386165,41106.639930798112,61450.037280590957,7615.2987398636515,15691.873838676651,3559.921545427072,371.16687594658197,11359.159913335383,0,161014.24230496684
110,5131.4674915468495,4956.7945368747314,39649.549331398535,26634.255843820476,7626.2146151410652,5929.4428873284132,2958.8605465878245,0,4023.066683244735,581.90722282306945,97491.5591587657
111,4803.9298519070235,4225.2056728577109,24498.854988622912,27784.593972399398,2326.4369178061702,4157.0864239001048,1269.9899500903152,0,3574.1216674721281,0,72640.21944505574
112,3737.2308119607192,6622.1554900721585,21033.337457862552,17279.535217359022,1772.6855157881187,3691.9753578884979,1162.8302072044542,0,982.11745135189199,0,56281.86750948742
113,4855.8025511386813,9138.9015121847988,17862.338626340505,19015.826299319859,3441.7024570103627,1215.7303001257274,1729.1576331683957,0,1679.857920147218,165.97614251404312,59105.29344194959
114,-,-,-,-,-,-,-,-,-,-,0
115,4934.5263373276102,6058.3050573980163,18699.648755343012,29611.234622622342,7061.7505534854008,7902.7888249510652,3221.0539964887553,0,3157.7748546789421,0,80647.08300229514
116,8885.1933557021421,15202.160019392912,68588.179994955281,130752.23751200968,5860.1943331320208,2109.4792771753337,861.07507808609716,792.72189086690514,5671.2484894961717,0,238722.48995081653
117,5452.4840992827658,3780.9044050911284,30208.895803871856,27463.412898264101,3080.4109654745298,7661.683768097444,4170.1889366798714,0,5347.769066298084,0,87165.74994305978
118,1138.5454534995154,2683.69008999978,4875.8718320986436,10478.660838281829,425.75334021531251,788.59468993986457,109.0238273339546,0,1325.0337996277776,0,21825.17387099668
119,3300.219575511635,10647.581002511522,29741.317851203006,65761.325789679671,3276.4474841127853,3990.1064698916339,1033.6098650338656,0,2228.9792955938156,0,119979.58733353791
120,-,-,-,-,-,-,-,-,-,-,0
121,10488.57816715411,9244.4094465192265,23647.112899112763,53656.699446029219,1278.0407409478958,2816.7598292986727,98.858618527446637,0,4451.4219559611047,0,105681.88110355043
122,1904.2997424530067,7735.9812982095573,10448.554869563304,34894.337399966258,337.8551061505554,304.81324408937388,304.81324408937388,0,1254.2766348797982,0,57184.93153940123
123,3030.3387435808854,5792.1078902550762,19122.593152745339,37384.625481936084,1487.9120969824914,883.73735624172332,5688.3668000347616,0,1849.8144011191955,0,75239.49592289556
124,2084.6964177269451,10215.656771095482,18755.335326097709,48829.116995138975,3478.0765247532058,2732.2836063495156,975.84418832273127,0,1073.5104632880198,0,88144.5202927726
125,6871.5531544568921,6229.4406921759937,18996.463204148218,31940.245400126623,973.77110401786331,2815.7794076905948,4485.1238770999853,0,1027.0209996979122,0,73339.39783941409
126,1266.2896786142721,8880.1717620775635,21642.665089766517,21565.994538911938,1481.1521030451142,2213.5745626750959,2129.7717623072372,139.67958940703727,986.30192398114514,0,60305.60101078592
127,4142.6992755161527,9776.7287001800105,30366.110961623592,51050.505992579761,2965.023728346383,3633.4030716975308,3441.1812003232963,587.12105876067528,6906.5414995145438,122.87062755338762,112992.18611609533
128,1849.6104327838477,3553.5424009745875,6602.3802160039359,2275.9706172638071,198.12136134682206,5023.948319464841,873.84086259339301,56.311404984194198,3399.5714713185735,151.70596182143186,23985.00304855543
129,1976.4441258332208,3301.7480246372907,13125.286874505977,3633.6537551237038,1855.5249068687804,5990.2739993324285,1158.1992312652046,467.5916993459449,3202.3312900487845,364.12603455661565,35075.179941517956
130,247.88366379301647,1360.5697679527855,5492.7519647553199,2965.7289107337228,320.19401117196372,356.74000512026151,13.555835448267567,0,2150.0619289394735,108.57176607402769,13016.05785398884
131,2643.1222773330092,772.97380497977497,8379.5206488840577,2336.4709205988624,441.97269184416433,500.44654430104026,239.37251764078985,0,3900.0088543272709,0,19213.88825990897
132,1680.7012806018847,461.40439022725678,4390.9079262543855,74.919492143397804,0,1290.1082955995485,1256.0658000642034,530.84370892601089,801.34913582214597,0,10486.300029638836
133,3729.4904468779196,8584.8202589736229,28053.138832675235,23007.673662720019,1834.7312238369789,4797.0422031361431,3008.0075708412128,0,1461.4654138682968,298.26819293748576,74774.6378058669
134,1572.8049002648054,3160.3688745337267,23531.452558090881,21686.533533466969,3634.1136879536725,5650.8070952776407,1483.7072118364115,0,2102.9765124003634,322.40772137771916,63145.17209520218
135,2794.9081366233377,4153.3051938622857,22260.041213596269,25806.372194460084,3166.2689093126082,4695.5838080395124,4911.19323182273,0,2104.5515962276327,85.740294564166163,69977.96457850862
136,8236.0336731084699,3593.7174945938027,24418.446898221937,18300.118600242378,3418.7017735670829,4808.8286492967036,1866.4032661559766,56.311404984194198,3558.6587091826414,989.29156519490652,69246.51203454808
137,1711.759991013583,5529.2016341952767,20868.087436497775,29267.513623656938,4094.5370757539013,2782.1643965256944,1020.4190239935441,0,4024.7480615850059,1112.8854034501196,70411.31664667182
138,5468.8756957784517,4370.0687792231693,10027.389420741709,8796.4441234908973,2158.8529321634082,554.73438012316433,2065.4950371524274,0,769.49008885432363,0,34211.35045752755
139,2759.6639226696207,3559.7435386698876,12495.308261006907,21174.990244997938,1434.7374573281418,4945.3647334866273,2779.6012322926099,232.71877505014726,1312.3364107564541,0,50694.46457625834
140,2937.4323451876839,5292.1121319390077,14035.465720704895,22855.629072271931,3461.6229549248173,2870.8727282213499,1829.8878528805117,0,4549.8126367750738,224.06448876058806,58056.89993166587
141,7267.0797572197098,19916.893617263675,53597.123378105469,45718.943039813916,5459.9897023177909,10566.677129791762,3505.0565845993156,427.33367708584774,5201.0819422494878,475.39365426533641,152135.5724827123
