work_zone,formal_employee_jobs,informal_employee,public_employee,independent_professional,self_employed,employer,family_business_owner,family_worker,total_jobs
166,21423.874436093334,2551.3204409552873,271.080063518006,2974.0526833544077,8038.127776260993,258.43227883983,239.4826751120744,570.6374839597464,36327.00783809368
167,23321.8501385686,1822.746784518096,0,487.54624044052673,10624.450767931155,440.8742344835751,216.7739894882702,0,36914.24215543023
168,15000.27513657196,1368.603305811178,1195.6364061775828,446.7980740861579,8069.213007633313,270.631980069901,174.297809744848,0,26525.455720094946
169,12857.031160350967,1063.6953144602087,746.9961899874772,1135.359914374288,5519.158823974696,441.5062594650123,765.2599684503612,932.251572467069,23461.259203530084
170,17114.48263304362,2900.5715784919707,346.043479628527,1752.49048012267,11487.849524288593,513.490490899434,259.77581682743903,0,34374.70400330225
171,8112.106837572418,915.8223240829809,0,649.867584507626,5454.192389125543,112.90281820617534,336.516917487081,0,15581.408870981824
172,3544.6611938906185,487.97002177969296,696.607956291887,0,4258.837437079934,0,0,0,8988.076609042131
173,5296.636361497236,0,0,368.514190408904,4819.326160919452,0,340.020465166362,0,10824.497177991954
174,4970.700326940524,0,168.971636422685,448.97773854562894,1493.9462724662328,0,941.4068928436081,617.09883576793,8641.101702986609
175,2350.3959829268347,971.8747152714972,639.3373651985212,0,5827.640429450856,0,712.644608364416,0,10501.893101212125
176,5466.15231505744,1255.6165153707532,414.20883300254,562.9522603265495,4982.254615693486,0,269.107204468197,0,12950.291743918966
177,160.888888888889,0,0,0,2778.488439275252,0,0,0,2939.377328164141
178,600.599744234285,0,0,0,0,0,0,0,600.599744234285
179,0,0,0,0,0,0,0,0,0
180,4047.4293237801367,1973.427927149187,331.0383431861856,123.424849535476,4224.115472585255,0,0,0,10699.43591623624
181,8392.27295666874,580.9098096330272,767.8548925858781,239.949218508814,8979.886271599036,144.937557042648,766.0500886203341,0,19871.86079465848
182,5339.743039200461,739.320678057042,283.360342553186,257.722105455333,4591.2119958182975,517.806714052825,0,0,11729.164875137143
183,3735.38667286728,0,1416.1934266284427,0,7394.579619492896,0,197.536070590176,131.14242383981,12874.838213418609
184,2847.0688291881,0,0,93.8145445960476,3364.622191260342,0,100.975702763535,0,6406.481267808025
185,562.4462283054245,170.976347319931,0,0,4613.257378788057,0,184.235818001369,0,5530.915772414782
186,1496.131204143332,408.8084697274042,0,0,999.5558420040222,0,0,0,2904.4955158747584
187,2492.8480712666255,769.9254013050775,0,323.892607926412,5783.523989640632,0,172.362194046734,298.793596271222,9841.345860456702
