zone,name,households,families,population,school_enrollment,jobs,private_cars,trips_produced,trips_attracted,area_ha
112,Jardim Mutinga,14011,14291.22,39861.000000000007,7260.6437485666956,20503.80775958537,9807.700000000004,56281.867509487391,56474.581326167819,411.97
113,Vila Jaguara,9443,9443,25344.000000000011,8452.76264600184,25129.206439076977,7743.26,59105.293441949616,58437.821179062681,454.34
114,Parque do Jaraguá,,0,-,-,0,0,-,-,489.12
115,Nova Jaraguá,18444,18444,51959.999999999964,16375.404818168174,18199.27020808867,14268,80647.08300229517,79981.388520046123,777.78
116,Parada de Taipas,57957,58343.38,164907.99999999977,39270.290494243272,35168.89739519397,26660.22000000001,238722.48995081711,240206.81810081698,1553.24
117,Parque Morro Doce,21697,21697,61982.000000000015,10884.929464935034,22128.3927571694,15621.84,87165.749943059898,85200.360222543182,1527.16
118,Anhanguera,5328,5419.862068965517,15249.999999999991,2357.4244310345211,5339.358348192796,2572.1379310344814,21825.173870996681,21902.817546719249,1812.79
119,Perus,31265,31786.083333333332,89903.000000000015,26479.862654132266,25806.05804426775,16674.666666666646,119979.58733353789,121547.70630293924,2369.13
120,Vista Alegre,,0,-,-,0,0,-,-,742.47
121,Jardim Damasceno,28824,29304.4,82348.999999999942,20716.817119839892,14095.044101669864,10088.399999999996,105681.88110355049,104473.01865565454,573.73
122,Vila Souza,16571,16571,47809.000000000036,6441.1387322954715,9573.924097393516,10274.02,57184.931539401274,57252.669254394976,220.86
123,Vila Terezinha,22853,22853,62628.999999999985,8775.7019979406268,6948.170931354554,12797.680000000002,75239.495922895556,73773.232068489742,250.78
124,Brasilândia,20619,20619,56530.000000000044,25772.331394850975,12844.694959994808,11959.02,88144.52029277265,88536.23730008812,318.28
125,Vila Morro Grande,19166,19875.85185185185,51952.999999999985,11624.391328811684,13111.015717197766,13132.25925925926,73339.39783941397,75117.243841845149,413.07
126,Itaberaba,12330,12330,34293.999999999971,7935.8966696497691,12003.097006673936,6876.346153846165,60305.601010785918,60129.152745851643,207.42
127,Freguesia do Ó,21127,21127,54402.999999999971,18680.722176070907,29134.78543096149,14570.344827586205,112992.18611609522,111615.69975000757,485.85
128,Carandiru,958,958,2146.0000000000014,3635.7261969020692,9781.3288308264855,578.1034482758603,23985.003048555423,23723.003749942622,38.03
129,Santana,1742,1742,3823.9999999999968,794.96690877578692,14984.489141726208,723.094339622642,35075.179941517934,36586.524806058434,54.36
130,Zaki Narchi,1185,1185,5654.9999999999964,638.91058186379314,5620.559596907552,710.9999999999999,13016.057853988828,12960.530738000651,71.32
131,Tietê,590,590,1429.0000000000002,2979.3840320870486,11495.486980205911,365.80000000000007,19213.88825990897,17690.713294425284,78.6
132,Parque Anhembi,,0,-,381.11258068357466,3419.4306705183567,0,10486.300029638833,11323.144894588029,313.52
133,Alfredo Pujol,16784,16784,38783.999999999971,13179.011348140495,23596.11219681964,13054.22222222223,74774.637805866834,74719.389920283196,215.07
134,Santa Terezinha,12686,12686,32066.000000000015,7750.9871156041208,14419.480290851809,12934.745098039231,63145.172095202193,64447.737163336089,251.08
135,Jardim São Paulo,14550,14550,34659.999999999993,7821.3221122875184,19834.63436090415,11176.086956521718,69977.964578508618,70034.222136234981,291.23
136,Casa Verde,12699,12699,32094.000000000015,5367.7427496358587,21441.0501851937,7533.305084745758,69246.512034548141,69357.576614448466,325.35
137,Parque Peruche,18193,18193,50443.000000000029,9586.5961537858184,19037.020405373733,13826.68,70411.316646671912,70398.162083322197,391.87
138,Limão,4378,4378,11911.000000000011,1812.6503789672704,15329.359368335854,2451.6799999999994,34211.350457527551,34227.983794576343,171.8
139,Jardim Primavera,10675,10675,27567.999999999989,7278.6907819764128,8318.021724900838,7472.5,50694.464576258317,50731.582594575848,192.75
140,Vila Santa Maria,17000,17000,44940.999999999964,8351.5889972202312,11341.535664691535,9943.396226415094,58056.899931665837,57761.121107170817,277.94
141,Cachoeirinha,31330,31330,82731.000000000029,14538.956100771458,32354.559541215185,21304.4,152135.57248271236,152993.44834138613,478.58
142,Jardim Peri,22375,22375,64197.000000000073,3968.5758528277061,13526.077814104425,7745.192307692315,70705.722756222502,70760.188226535072,443.68
143,Reserva da Cantareira,,0,-,-,0,0,-,-,436.61
144,Mandaqui,37743,38372.05,98246.999999999956,16965.544908131527,31959.895168799943,24532.94999999999,180688.47408981732,177571.07907654575,552.45
145,Horto Florestal,2792,2792,7993.9999999999982,4875.7997298643622,2657.533358876079,2624.48,13364.475159283484,13356.117181993104,342.18
146,ETA Guaraú,,0,-,-,0,0,-,-,428.67
