destination_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
71,1946.132396992919,3316.5927877455156,28048.794052947993,5068.84152568049,2051.446706090159,153.72824937315363,1052.620343997497,33417.07288876851,0,4110.112187138284,1324.2247097888182,80489.56584852334
72,1171.5551588850085,2449.300644999879,17090.26918309695,4556.469645309592,225.0439681486594,99.73648920195967,1101.2802555393473,10955.949455948592,116.293575850436,1077.3846419488946,658.6506101984712,39501.93362912779
73,11324.570143235753,9912.526181075633,102961.45467584809,520.6031467072785,731.0775428729221,1039.9610467254809,4957.761868035478,10064.679039625486,0,2056.635241789212,9730.156997078291,153299.42588299362
74,6005.573541534524,9362.95862916636,38372.18704396118,3394.5774661750975,277.84994277157284,1956.7175039355393,1210.205403353703,9170.109733244757,0,1391.304360115431,1658.098944480626,72799.58256873881
75,336.59973462650834,2239.3141663249653,9496.312361574233,1446.912320228874,908.9054974365134,247.1560354053395,593.8242340051597,11060.168547464596,0,665.4741954620785,300.1477627035481,27294.814855231816
76,1239.633517813964,1139.035125676122,14210.537037292266,1108.476122526297,51.3692479858836,1623.677983696296,2287.739351601881,8205.295224307602,0,509.6389982040211,395.10342049229337,30770.50602959663
77,644.5020299607926,3119.725193955405,35638.74820242426,5761.520455997939,631.3480752278397,16773.423538642088,2494.6361094652743,18230.96273369102,0,1427.1104427882328,1106.9050246445122,85828.88180679736
78,732.5737099220956,3163.5829788008614,19627.12176422237,1278.3313424149849,1675.1040837972794,254.46408149751505,1137.8361808892569,15154.812458541415,0,987.8639490275528,952.548368797629,44964.23891791097
79,3932.4068193764974,3873.487695011961,36037.72464931235,8127.104637653672,530.3907569712026,9434.552890749039,2687.8720287933406,9392.57640065482,157.69444347390552,3722.1030441594826,2612.285265514135,80508.19863167041
80,49.914944638165245,6694.461439736804,20876.240205557777,5084.48136792439,1156.4690912465346,2182.000523172685,3444.2064950586223,16448.291378003698,39.87578437922603,1203.551885081711,1737.973788311825,58917.46690311143
81,1883.2246121445496,6826.4846686853225,27864.215819145866,2873.489219624795,1001.8369433779588,641.042741683084,4704.374044718513,9672.34475995117,0,1114.398726291798,779.4721068074493,57360.88364243051
82,5439.711185175303,9890.197203934178,57872.03662037704,5622.514721763885,1650.8489350817008,3816.6557420146783,6171.781454167964,12202.892040033375,0,5238.088462514741,4756.239689608661,112660.96605467152
83,3733.106541561131,4475.831545047583,21408.64576563433,11652.34305920167,301.73948692885966,189.4537026222984,2408.0384074776,20667.06270232464,35.79169770467191,1292.5671412326242,2391.9580711744193,68556.53812090983
84,417.55608879166937,3351.144072787928,13913.405841527472,15796.58342271457,939.7944267378342,140.12862370727314,156.7672703136487,11043.311058550256,0,813.2585752549213,1723.5622542600315,48295.511634645605
85,333.6703939957287,36.22482055918394,2595.6172250533123,4403.367444054373,42.524789352085435,879.4742739783237,213.64539895620905,4025.534664313957,0,145.4842242155523,340.3272317838317,13015.870466262557
86,307.8280346627058,1012.8785768487847,2271.037001654865,1589.1546573159103,15.35617393269752,0,15.092600704313544,1895.6638536703113,0,301.9314556834969,0,7408.942354473084
87,48.21707853144701,1453.132490333014,10119.911184231503,4106.2655727056435,499.65420350533134,1903.1341067729024,1228.2737674239586,15350.739698357902,0,1794.8363265132994,135.98374723075457,36640.148175605755
88,1180.7461478744403,5923.715077265614,19105.481001738783,8470.92353430999,1577.9834813990778,2974.6094808361536,2071.1321803848405,40611.91980876636,0,1905.120172344532,806.7342726507517,84628.36515757053
89,859.5622467621929,0,1238.2248716558545,996.9505780488636,0,346.8906874221844,71.16375844110219,10585.414822156165,0,313.6427932735839,0,14411.849757759945
90,1335.7863251956187,1472.0391409800322,5081.450839437829,3957.627103702795,275.22826049140633,695.1206555037901,1721.3455558963524,11285.146195665371,0,1032.7042460495788,149.02593102868315,27005.47425395146
91,4551.127168585566,4486.844986819047,15897.892836751873,12500.248261474288,919.3616841343755,0,784.5066551363815,9208.5770066101,600.4209116848211,2432.0241892492068,1311.157493390254,52692.161193835906
92,1904.7137715097256,2812.0948735908232,21981.83950410833,2656.0142784307172,84.64356809845022,58.05407096299062,501.78156988250663,2888.031207579521,317.2668564282581,5683.271019797825,572.4560588863659,39460.16677927551
