residence_zone,employed,casual_worker,medical_leave,retired,unemployed,never_worked,homemaker,student,total
98,4361.4284592506938,438.15363522108396,0,1664.4149196577873,435.00719808051224,223.68435083977599,385.80645161290357,1323.5049853372429,8832
99,4220.7797022014211,406.46722602998659,0,1638.3732051417198,449.28804232181142,806.73336072305619,328.867257992129,896.49120558987283,8746.999999999998
100,14569.842167008581,979.583327985295,0,3994.2063277363477,493.96479265777828,621.15642358991795,522.48324448021503,2526.7637165418582,23707.999999999993
101,10458.043013283841,1103.4255025271777,0,4363.6231499977748,1710.625390097257,759.455306816845,959.09749219310697,2210.7301450839941,21565
102,6897.1665565553458,0,0,2270.9945812010383,397.73519700514362,501.64030331119119,196.11081907304819,1791.3525428542368,12055.000000000004
103,1368.5219240718857,0,31.024198604138199,496.42432934603301,55.799945852655,93.043226107204006,58.751623748366086,399.43475226971754,2502.9999999999995
104,3691.8884760223009,0,0,773.60441071545529,210.27202442850898,313.90957951103377,286.52002633983039,1112.8054829828677,6388.999999999997
105,7583.1309984766558,60.717539920175099,0,1544.2620178256809,904.88692571931551,779.12184910187898,350.32095336946156,1778.5597155868293,13000.999999999996
106,2926.3224151861318,870.13523851427954,0,746.01072620964067,1019.6623772548339,345.9631895639518,166.40823251926392,929.49782075189717,7003.999999999998
107,10178.01658612656,123.9473860302912,0,1662.3740296234571,473.20867752998493,820.03574765306621,354.802608454584,2748.6149645820692,16361.000000000013
108,2717.6419241167396,78.772397094495105,0,697.96853284798203,525.64005025906772,284.61594571848877,318.0817437353499,662.27940622787503,5284.999999999998
109,52401.791929251849,4720.8924592074045,691.25162855656799,19747.121942899299,8658.6045356072973,5421.5995531491062,4784.38827859107,23222.349672737411,119648
110,35202.694680815053,0,0,11001.446074891395,6333.0606932919491,6145.8154426899364,1020.898719209359,4838.0843891022741,64541.99999999997
111,27394.343453949245,0,0,8520.610183371844,4551.4038094302778,2261.6444621729861,1146.1229046099941,7356.8751864656233,51230.99999999997
112,13585.377521540309,3377.3965474158354,240.65078381625801,5835.0001065130818,5488.6706449867143,2370.0293985653066,3812.2978603567976,5151.5771368056949,39861
113,10671.153548225082,1089.8559713064581,0,4675.0819640897953,2443.3954737288573,2278.1855028483892,1173.766008434266,3012.5615313671483,25343.999999999996
114,-,-,-,-,-,-,-,-,0
115,20519.979321316026,3906.9807925412956,0,5494.0681532357858,3449.9586203143022,3762.3663269880039,4803.1912575426368,10023.455528061928,51959.999999999985
116,65149.493077006657,10019.399506732876,403.63479543838901,15911.968430989064,22102.777625701601,11989.39946472319,6688.5887015205381,32642.738397887722,164908.00000000006
117,29689.186259065071,3854.4630105111219,2929.9118220414871,3702.2242493546019,5947.6600661142638,4469.2425119520458,3062.9760364290205,8326.3360445323924,61982.00000000001
118,5877.375235445229,1028.6326602231854,61.3705964932117,966.08770413834998,1207.5321937990338,1665.8593417256452,1834.9485004347075,2608.193767740634,15249.999999999996
119,32936.028193780803,6986.7973015661955,499.58456187986098,5159.5972866920574,14119.087766980903,7256.2633799728574,3915.8406612971389,19029.800847830174,89903.00000000001
120,-,-,-,-,-,-,-,-,0
121,32188.119536053917,2971.0576564198941,462.784660884571,7597.9291808451317,12572.206099914169,7918.1060464400307,4182.7188304395913,14456.07798900269,82349
122,22299.655905274234,1042.148154625178,723.87891819479796,3878.8373219872024,3734.371424599929,3635.8109441065258,2863.4827560659337,9630.8145751461852,47808.999999999985
123,29342.023717860473,2306.7769320445473,0,4450.4485346884267,5572.9943160380953,7280.185550152074,2348.186096423789,11328.384852792615,62629.00000000002
124,27991.067339298643,749.776910688361,0,5576.3348898741469,5366.1030051051139,5013.3436270704269,2070.1057887237057,9763.268439239584,56529.99999999998
125,25477.041657937851,1032.5777937196999,316.07800436999997,8547.0609969331435,4583.7332437934392,1610.679584056352,2273.9208785719866,8111.9078406175186,51952.999999999985
126,17830.126493970871,942.72367113046437,0,5814.9990977552716,2771.8729068775187,2540.9667904089201,454.34129235230398,3938.969747504646,34293.99999999999
127,29089.539613931225,536.70107403597103,182.21626083240201,7054.1762258972876,5164.9398849922591,1260.529440639084,2191.6487901889359,8923.248709482823,54402.999999999985
128,1310.8361728145871,44.804006020819003,0,418.48288580321781,80.754234521780205,0,66.277291109564999,224.84540973003052,2146
129,1898.2274370865416,58.913425221716537,0,957.96968889552511,219.68850246849058,160.45391440424811,60.624975694637101,468.12205622883926,3823.999999999999
130,3179.0188014319397,19.380293138706701,0,631.64334017719364,395.56698558452041,396.51134341409926,407.46156110954621,625.41767514399464,5655.000000000001
