origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
87,6077.040431645879,42.628436990034,2982.946080709308,379.67535153125175,1378.3239295643416,12218.739801929933,4997.350516426621,558.3947046759587,2126.349930404554,1925.9463733210869,137.816616394658,267.1137103056802,3612.1802762102097,116.62087156924667,36821.1270316788
88,7134.55711598362,2440.1502639972528,10686.545758812144,0,2644.78014109171,27662.232451512664,5260.6173584069975,292.5918760601597,8554.375763289752,1057.6011121985653,0,549.979929579641,18854.792260137125,0,85138.22403106972
89,1825.781326505797,0,1890.947612611522,0,452.8091721276123,5503.163926912336,2495.4112734165965,0,688.6022541703097,0,0,142.56994190281029,1412.5642501129587,0,14411.84975775995
90,1790.87804846702,77.3659469771969,5827.75562602293,0,1028.817264236904,7406.0138297369185,2184.4054817907104,138.9663292208768,1712.6755327199128,411.2981340904285,73.31812049308314,92.58963862123888,5853.620949679526,0,26597.70490205676
91,6427.1044970907205,12203.411200575045,14299.203474186595,0,373.9062353948205,10087.098309488902,4449.396590429186,0,230.8934701799117,428.2081970294519,0,868.7919391487704,4070.061176642444,0,53438.075090165854
92,6843.683760253922,6639.735015883765,7436.08181310292,22.72157862439864,59.062207433451995,14939.933913655415,1257.15226596187,37.79981275740928,810.2942885617373,145.44804768750512,0,55.43814016701196,2251.5197419498627,0,40498.870586039266
93,13409.052606297411,14819.46146317342,15282.044554663527,0,1308.0145799440727,13296.31515626661,4696.889607927358,323.4619348920372,2321.6368144686858,479.8297036309331,0,1462.432869909259,6190.944471328548,0,73590.08376250192
94,6593.929998244474,4253.931364576193,6652.22394717179,0,342.6167885745191,8914.54734953036,3518.7022462799328,19.78583949020642,2097.432333866522,135.1066217006355,126.2829017667474,338.28695844240224,6500.58495542773,0,39493.43130507152
95,2785.0940984490353,615.9433718373895,2026.1055105021517,0,1597.470801090279,11906.890776522276,4113.973739899918,135.00757981480092,2522.0738879139503,579.9665053044635,0,175.31388454268802,4189.565244736235,116.62087156924667,30764.026272182444
96,3646.34742152868,2125.017401591968,4112.155818576944,0,945.327265238597,11405.173017762789,2957.2772827802487,47.789679610567354,912.7201578710923,300.77932540692643,0,986.1152699942313,1003.0474891563248,154.02758985347896,28595.77771937182
