work_zone,secondary_sector_jobs,tertiary_sector,other,total
325,2559.464141435864,16351.770480913294,0,18911.23462234916
326,1774.9600643113158,15581.148796359055,0,17356.108860670374
327,585.45077897991,8283.133695103237,0,8868.584474083147
328,181.1438002694828,10669.624759802438,63.3287791854054,10914.097339257329
329,914.5799958649387,13376.516524859502,0,14291.09652072444
330,1738.373315270745,19882.75714534047,0,21621.130460611217
331,1406.2767876923854,11967.610687050905,0,13373.887474743287
332,3706.4050240678976,15590.11731746787,0,19296.52234153577
333,4482.571755239907,12971.214574136067,0,17453.786329375976
334,2035.2109035824892,7848.985492915987,0,9884.196396498475
335,3396.71708774514,13833.062717649327,0,17229.779805394468
336,897.194273367296,13033.982707818624,0,13931.17698118592
337,1484.834047574684,14083.629678835749,0,15568.463726410431
338,1525.730741792454,9219.179194144175,0,10744.90993593663
339,7352.405247270467,15270.331743871531,0,22622.736991142
340,0,26925.92186943494,0,26925.92186943494
341,1307.6760762674885,18193.4659043798,0,19501.14198064729
342,534.5573744945463,4338.041659624545,0,4872.599034119091
343,1731.100470529754,12197.957265686902,0,13929.057736216657
344,122.3474510197842,1401.3582109109834,0,1523.7056619307675
345,5522.479333436205,20052.82510657853,0,25575.304440014737
346,2863.0033336873103,7057.0143388677925,0,9920.017672555103
347,359.168604811576,271.431339595411,0,630.599944406987
348,12765.64081130138,38477.93553226429,0,51243.57634356567
349,3686.519300508063,9891.701262428309,0,13578.220562936373
350,299.901389664336,0,0,299.901389664336
351,5282.032586854635,14776.863827178297,0,20058.89641403293
352,2141.551522704969,12929.103499848312,0,15070.65502255328
353,0,1226.885358063164,0,1226.885358063164
354,0,0,0,0
355,0,0,0,0
356,953.43478642116,13345.864119390846,0,14299.298905812006
357,3204.6584212899106,15638.427580934616,0,18843.086002224525
358,364.2142857142855,383.0941558441557,0,747.3084415584412
359,2806.818426068745,17428.34459267625,0,20235.163018744995
360,0,6399.688439602475,0,6399.688439602475
361,2660.245853881968,5611.486489516547,0,8271.732343398515
362,2150.762640648236,2680.944795564671,237.860145308571,5069.567581521478
363,786.9135485644416,36556.47688608867,0,37343.39043465311
364,1411.0995081801411,33374.71895485339,0,34785.81846303353
365,21952.40531647114,14971.740338397609,0,36924.14565486875
366,4273.782749370754,7579.687953031191,0,11853.470702401944
367,11745.558948179889,20757.371331995564,0,32502.930280175453
368,993.4432890390472,11340.879845106709,0,12334.323134145756
369,6859.747251410303,12002.842415689369,0,18862.589667099674
370,2726.5288073007146,17642.093338655555,0,20368.62214595627
371,3274.9175392202537,31649.824925393972,0,34924.742464614224
372,538.940907746594,6326.1738542747335,0,6865.114762021328
373,3171.892600358105,21363.395296369486,0,24535.28789672759
374,4279.763881251156,31084.704805558275,0,35364.46868680943
375,1819.7255400640431,27850.58193954327,0,29670.307479607312
376,13741.352069992216,24952.60464522713,0,38693.95671521935
377,10231.393465475914,14391.986515678964,0,24623.37998115488
378,20836.105071770708,44194.22287001925,0,65030.32794178996
379,18128.900124244577,26489.29678521037,0,44618.19690945494
380,3347.1960201818033,6777.526687221591,0,10124.722707403394
381,6001.428046738001,11291.196088156345,0,17292.624134894344
382,0,0,0,0
383,5945.3480807861,14481.903416349616,0,20427.251497135716
384,1903.4547228105096,19967.405272682343,0,21870.859995492858
385,1410.016499504592,4232.800733731781,0,5642.817233236374
386,0,0,0,0
387,2022.5717228962371,1277.3592715901557,1739.4203311238325,5039.351325610225
388,16843.032637045508,25564.888370457415,0,42407.921007502926
389,1122.3578049598195,4430.21337411642,0,5552.57117907624
390,5129.179060127731,11237.770847899885,0,16366.949908027616
391,945.4531873828929,2498.255664599862,39.070072219603,3482.7789242023578
392,0,186.409514289405,0,186.409514289405
393,310.497346627156,0,0,310.497346627156
394,7022.779517507754,20302.96555841593,0,27325.74507592368
395,0,348.737659258332,0,348.737659258332
396,8110.896786425091,16396.03110673939,0,24506.92789316448
397,565.1383661419727,2694.2926037710445,0,3259.430969913017
398,7936.217935846901,31896.324881963767,0,39832.54281781067
399,7303.860047780422,27247.62665461138,0,34551.486702391805
400,7427.435828206681,19353.288550328005,0,26780.724378534687
401,16181.45181661594,18587.471022951755,0,34768.92283956769
402,7571.470815654005,12947.171481529982,0,20518.642297183986
403,15397.79984249624,16534.23464428491,0,31932.034486781147
404,7194.385736509303,61694.232097714295,0,68888.6178342236
405,3902.219192784216,5454.150434186788,0,9356.369626971004
406,1184.8865106956712,3877.2863371073854,0,5062.172847803056
