residence_zone,illiterate_or_incomplete_primary_i,complete_primary_i_or_incomplete_primary_ii,complete_primary_ii_or_incomplete_secondary,complete_secondary_or_incomplete_higher,complete_higher_education,total
103,248.76451854571866,120.32468795600599,117.1371425136787,460.93199480337103,1555.8416561812255,2503
104,744.20569114294631,318.98497163263522,372.83757097265004,1177.1897102650771,3775.7820559866873,6388.999999999996
105,1376.8372552847181,994.99044835431823,680.7366706989427,2883.6055231599394,7064.8301025020783,13000.999999999996
106,2757.5648591573836,1165.6401297333869,1003.4143271741268,1991.4906027383574,85.890081196744106,7003.999999999999
107,1768.171566495148,763.75019856591598,686.28023061261661,2777.4102990325018,10365.38770529383,16361.000000000013
108,884.09804023973993,596.99012548179621,319.43339432022213,1910.0351219137601,1574.4433180444801,5284.999999999998
109,16982.326583686689,18383.451147545795,12700.282594245969,42256.565849251972,29325.373825269551,119647.99999999996
110,7038.7485349611297,5034.1357850007935,6246.0693929021481,22210.785414800219,24012.26087233569,64541.99999999998
111,5728.6844236121351,4501.7064839798013,6357.0465857499094,13425.454924231524,21218.107582426612,51230.999999999985
112,6994.8670113007183,8048.2039561638639,8096.444056191167,12648.884855241919,4072.6001211023295,39861
113,3511.6202084549445,4004.2358460266864,3750.6479795266819,8360.1541263685049,5717.34183962318,25343.999999999996
114,-,-,-,-,-,0
115,12775.291948677761,6265.8093570393421,9412.3151508359279,16047.969005574609,7458.6145378723331,51959.99999999997
116,34433.627451374574,34143.623620581326,24180.243336472031,52883.353270795102,19267.152320777052,164908.00000000006
117,13881.776878743434,9400.9970059020507,10755.369638139346,19099.38172399452,8844.4747532206438,61981.99999999999
118,2487.442295879976,4519.3232716032689,2224.0880850886419,4599.7172211767938,1419.4291262513195,15250
119,19461.087843051475,12031.460775160367,17870.764717810645,34405.660499600475,6134.0261643770309,89903
120,-,-,-,-,-,0
121,15723.88749376821,17807.639576928232,22477.546975063266,21515.033224431983,4824.8927298083026,82349
122,9811.58998008665,9274.5457135668221,8689.0386861151928,15661.672349779841,4372.1532704514875,47808.99999999999
123,12995.292641800519,8901.7643210925271,6567.9175923329476,25523.473237291571,8640.5522074824603,62629.00000000002
124,11250.545103238575,6899.1769284244183,10100.339605663756,25060.607872568646,3219.3304901045935,56529.999999999985
125,5198.6570799290075,8965.2837407627994,6696.9411033413908,19324.682148700194,11767.435927266588,51952.999999999985
126,5902.7343522894189,3086.7741720406907,4911.4442662767697,11979.162249096969,8413.8849602961418,34293.99999999999
127,9568.0733971667705,3923.3099025080442,3447.2334647714897,20604.219149180561,16860.164086373112,54402.999999999985
128,148.66120446054998,179.91978588613631,111.85154334319226,874.82006138107693,830.74740492904482,2146.0000000000005
129,441.44242066817083,436.28223066300336,414.28540958342455,1231.9362647999253,1300.0536742854742,3823.999999999998
130,822.75038018475379,1269.2611644930737,743.57991931102606,1822.8075150850791,996.60102092606598,5654.999999999998
131,175.36639482386028,245.54710306590925,151.77358085207686,611.35631160738353,244.9566096507707,1429.0000000000005
132,-,-,-,-,-,0
133,3165.9023191626129,1628.71964582037,3204.6913082425926,8469.2936353235727,22315.393091450835,38783.999999999985
134,6660.868613962949,2851.8902497679014,2669.2107654937108,10014.311580093658,9869.7187906817962,32066.000000000015
135,4247.8702748439455,2029.662438842284,2413.792826127687,7048.4197719539834,18920.254688232093,34659.99999999999
136,4553.730206152266,3258.3477033886666,2657.2677211721766,10464.432996222171,11160.221373064713,32093.999999999993
137,7870.635992609381,9156.352072895932,9457.3687904980761,12303.920762071895,11654.72238192469,50442.99999999997
138,1423.8385826751662,2141.1570485060156,1660.6138947719207,4399.2165412341783,2286.1739328127246,11911.000000000004
139,3915.5072138997548,3299.0737314455346,2184.681059174145,10397.258117828605,7771.4798776519592,27568
140,6597.0381637985556,7201.3841037552556,5298.6780713649187,13760.268808516365,12083.630852564898,44940.99999999999
141,12410.664690980513,13674.444720696498,14831.615640441021,28507.4062541946,13306.868693687369,82731
142,18123.638773135172,7697.8360084326832,6774.3083993111004,27731.699997664666,3869.5168214564192,64197.00000000005
143,-,-,-,-,-,0
144,11358.390625851123,9273.1496159501439,6725.0928314552257,40280.386075064423,30609.980851679084,98247
145,736.33408137957576,981.98593795892134,857.5775202212044,3065.3567326131561,2352.7457278271395,7993.999999999996
146,-,-,-,-,-,0
147,5507.8201169639851,2062.4716179442698,2381.8487747432227,11353.221829241142,7989.6376611073765,29294.999999999996
148,3747.5285006012346,2077.9491859389714,995.61402812140659,7036.5627393992872,7128.3455459391062,20986.000000000007
