residence_zone,age_0_3,age_4_6,age_7_10,age_11_14,age_15_17,age_18_22,age_23_29,age_30_39,age_40_49,age_50_59,age_60_plus,total
124,3245.7331944946591,2378.6727306523098,3884.3286874235591,2845.997069219934,2020.528796165351,4436.8682809781403,7602.593103985746,8677.5688549706101,8489.1108075106713,5499.5126302410181,7449.0858443580073,56530.000000000015
125,1415.85626615055,2158.4631757073121,1251.509964584066,2887.5193032400962,2027.1546566483198,3507.2390617320507,4709.0379253367291,8865.9817505602168,5718.269649835348,7865.8824323384324,11546.085813866865,51952.999999999985
126,940.94446634457302,1023.6324393977919,1905.7254770751508,1530.2371418074795,1222.234795425625,2063.8737249128471,3498.4184705142461,5555.124090317122,5211.6572267853016,4586.8658399806727,6755.2863274391821,34293.99999999999
127,945.39708047931299,315.132360159771,3595.1163897015767,3021.7858777397969,1692.0023352042758,4100.38342032323,4963.5004944638576,8200.3967263214145,9162.3427651893762,8274.3379179959265,10132.604632421453,54403
128,0,35.998875630191201,71.997751260382401,117.37579340611501,44.268887599289201,69.808630445032904,217.69590330419618,342.94280221972326,331.77342134851835,306.67150266584474,607.46643212070671,2146
129,124.7413413056866,71.425146197122999,138.836408119889,180.74648440807317,97.847116493487903,34.081034226038398,385.6438191389035,616.90953500118167,587.66771401127517,552.870482924935,1033.2309181734047,3823.999999999998
130,176.72488396112792,309.89280204598271,236.31083527278361,137.29681274842289,109.39687715207509,234.69129280622928,531.68340504642811,884.06290352548706,931.7380425198279,795.96753799246653,1307.2346069291684,5655
131,39.585015231598391,80.301860077590064,36.718606504022688,64.575307105475545,44.098567188272909,56.513346525372903,70.435743744629903,230.75111151612981,242.44817246856064,206.29362043377529,357.27864920457239,1429.0000000000005
132,-,-,-,-,-,-,-,-,-,-,-,0
133,1433.9007753822912,1361.852043866332,0,0,1666.8501578572279,1841.1347944234531,1806.186571335817,7903.6056117242342,7913.1256207261831,5341.0511064233169,9516.2933182611287,38783.999999999985
134,0,1275.780978029127,1814.06783318574,1190.409616731745,1124.520310212481,1027.06481688646,2503.3523978235712,5119.6624721783583,5393.8544863004026,4609.3900752408226,8007.8970134113051,32066.00000000001
135,0,1684.496432464864,1040.641737150514,1706.3963118226211,324.49604811285798,1654.7790917394918,2420.559706843314,5501.2849762986789,5989.1917571133199,4933.5142697153406,9404.6396687389988,34660.00000000001
136,1620.8999987400612,740.50867311470904,290.86613489223703,2060.364186522957,85.824448986365994,3320.6075633550672,2112.797533340276,5605.6972969061999,5630.4142632685653,4267.128336142624,6358.8915647309414,32094.000000000004
137,2531.0260254987988,1373.794589864392,2950.3958026317323,2779.6355253513052,1782.656232237247,2413.5986358007531,4463.8849737634191,8282.7224621556416,8366.6330898179094,4591.3332266289281,10907.319436249853,50442.99999999998
138,363.60394573725455,651.31229817240421,822.18309713464555,447.65753038696562,303.4150960030392,762.34569291790331,1407.3783644729601,1665.6392705378246,2155.6068415731193,1485.1977259134571,1846.6601371504285,11911.000000000004
139,0,2287.4597653958781,1167.280072722715,1387.919087912049,838.30286431968102,843.77342794450203,2645.1853989358792,4216.9953278038065,5223.5948360135963,3544.0389092275332,5413.4503097243578,27567.999999999996
140,2634.5783869543889,669.07577340872206,3048.0279559011769,1800.7139973791629,1212.5667801038301,2526.056418900584,4874.6245395347796,6450.7763238184998,7278.2615446817017,6024.446220918202,8421.8720583989416,44940.999999999985
