work_zone,agriculture_jobs,construction,industry,commerce,freight_transport_services,passenger_transport_services,credit_financial_services,personal_services,food_services,health,education,specialized_services,public_administration,other,total
117,0,1186.323366610029,1062.479646168119,5098.656061013799,3445.739551565392,294.441413664456,350.793926881045,1126.186254090591,453.686456065781,1394.5656076491289,910.7534203681907,2511.581153264299,0,4293.185899828575,22128.392757169404
118,0,480.6600115676724,688.740624072034,806.6240645667019,325.37669019032865,73.6814896750858,0,449.9358222311278,1002.756224983443,0,335.5567037808306,776.7375645362757,0,399.2891525892949,5339.358348192794
119,0,3643.633192284186,0,9280.528504270265,258.40506452031,1248.279839756948,0,0,310.548921044133,1553.3570916365234,1996.1729959369673,2049.1901039843783,467.777633265494,4998.16469756855,25806.058044267756
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,980.3517586598598,1210.6924471387092,4642.230353512272,0,1780.60667837729,545.771739347134,553.066558890787,968.243376182088,502.050429621096,315.87633014751,214.62006241686,0,2381.5343673762636,14095.04410166987
122,0,797.543270126996,139.158335175503,4545.647077047552,0,318.780486496023,0,0,523.3430960429561,505.8521929981776,0,441.952741041223,214.62006241686,2087.026836048225,9573.924097393516
123,0,187.808984059175,0,1947.57189106328,0,571.930058056931,0,0,1064.142951231606,0,697.690315315078,0,0,2479.0267316284844,6948.170931354554
124,0,589.546526821466,2232.9062642636013,3162.8639728125545,979.693058108328,998.620049793432,0,1166.2717414081253,397.124116188485,15.5096424673754,270.30757452557,1057.204816620907,47.4240240381525,1927.223172946808,12844.694959994808
125,0,845.802925442151,953.0887773638132,547.583420718137,595.432587633593,1124.289942636944,0,758.812351704307,0,228.421930773885,3218.739815002101,1411.9239623923993,0,3426.920003530437,13111.015717197766
126,0,537.457640990111,379.4820195685606,3512.769648860582,0,0,0,394.863355413402,491.82898891114706,2673.777642133446,481.15740999021693,1467.0579565083774,0,2064.7023442980903,12003.097006673932
127,0,582.639140014152,1610.9472225666193,5728.12159254046,928.4605997240031,382.560938082266,1856.9558427729064,453.52057284921307,2803.5058943784265,3216.264274651315,2111.849125541052,5382.047100162012,181.5054668427404,3896.407660836333,29134.7854309615
128,0,22.5722679627144,379.396465310995,3949.422538458144,71.0248086757825,17.8778199920206,40.235122228783,49.66429647752419,0,2948.539258525719,33.022859114224,995.9967616719525,0,1273.576632408627,9781.328830826487
129,0,34.4276891365976,350.965332751731,2694.160915477541,0,230.6661222042414,223.96569286835305,1214.148840082705,753.635145925561,2071.582867426111,44.89692793837,4496.488910554141,0,2869.5506973608553,14984.489141726206
130,0,99.6450419866633,28.2045374531447,468.88487924735085,0,0,0,45.5721765721798,0,1537.57535658229,10.5252069343933,921.4425334503799,1854.3279242585231,654.381940422627,5620.559596907552
