origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
62,83.699037368526604,457.01419288915946,2375.2029164916194,1203.3176482560932,403.30251135937277,344.90228305775668,314.22829618221772,33675.349068439347,0,546.67328796639526,520.49912764517899,39924.18836965567
63,112.60080488913206,100.35741303257034,1106.2321629876926,353.87696094054189,2791.1957932088644,339.48715454510727,116.26221713471438,23263.653695906072,0,965.2763284723967,0,29148.94253111709
64,1605.3174185419139,2458.4443172045339,10925.744620162706,11620.258452908975,2530.7627651189659,1343.7929088403541,2202.1493676612445,53170.415640059262,0,3476.2841754111059,1911.7822378331982,91244.95190374224
65,735.87642280588739,826.20945723229795,11559.408838067237,6180.6981435928501,426.68876069728327,866.67769057978023,1608.0038766058278,29749.013227960924,0,1030.583749614382,492.46438382225341,53475.624550978726
66,516.08523499963303,782.72785650471894,5271.8877634900909,2994.287286171369,654.54662669792822,455.69750074276544,1082.1495924076298,47475.529644884322,0,578.43184332987232,1056.4439456162645,60867.7872948446
67,479.17755642075741,455.4673831356057,3718.5120698199335,2130.0349671328604,780.83152258839925,244.14922557529061,615.62007324020976,16335.018583927456,0,712.09861397439056,19.085751605578086,25489.99574742048
68,450.78201570771438,1114.3339859311168,13542.898240413779,7556.3382914154354,532.68404184074325,1000.1775516519775,2354.9088288877128,73435.716409678789,0,909.81293367005469,3390.1899257663517,104287.84222496366
69,959.59253974768694,1083.216032959109,4727.1891191083432,5339.9949482301408,478.340310444061,1162.4822396223544,1083.5490388953015,44471.002119003548,0,874.46454482570812,2353.8562778773667,62533.687170713616
70,293.98094777660361,1537.3043135174153,4742.2940797528236,5763.4380064142388,0,934.38638687342927,611.0651304605185,35326.667542241172,0,548.76344057335723,2874.2384893306589,52632.13833694022
71,2307.8867707604713,1137.5593475947041,13551.207362751131,7717.071740795991,3873.1824706860734,187.69626143864389,9347.6763338352284,40579.408592685846,0,1023.9656263353668,1804.2586324444123,81529.91313932787
72,239.74080061123504,217.66208202528628,4640.6919112848591,4714.0764820203567,1279.1914245143696,788.79615685182966,999.76423389807576,24677.738518784863,129.89154918835274,621.42058726697337,1318.2551189144531,39627.228865360645
73,487.02234456238671,532.02697763665105,16803.016894295193,8885.450540296908,196.02989882623095,1424.2097686993079,777.49412679070656,113696.76022217551,0,1087.908918571462,8242.2104672915757,152132.13015914592
74,126.0439146159656,495.08220139446996,6421.5675065386622,4142.9658844185124,634.978891149834,628.43281078831296,790.16262799881395,57021.779899638219,0,697.68415983215129,1817.4167009207463,72776.11459729567
75,257.73396245879746,836.60087147507113,3948.6155659943533,3007.4498798485561,420.09394847882692,816.18166873310633,1397.6598379158595,15117.288186074584,0,1564.3307065848592,67.627569705622335,27433.58219726964
76,130.03457467476227,601.85829590044159,4237.4297727793719,2104.0334577092358,324.77933146743027,384.40583553379599,599.45744981849418,22244.549655442446,0,334.23946556630455,379.07812023335032,31339.86595912563
77,333.19074348350063,323.82004447746345,9953.7448516742515,5050.8721990626254,3025.4228157242301,1958.3100493161737,2127.9527048921118,58052.667561089365,0,1278.3388298864709,1503.1099301669171,83607.42972977311
78,516.34479523965126,623.45776960934199,7202.5427021435844,4361.6533117402005,781.62469936145692,1290.1520155386072,1220.5666925251141,27278.729086779305,0,370.34630159317265,1301.8681883317518,44947.28556286219
79,287.57650333897482,723.09129322999513,5228.5266804621278,5097.9577228988246,528.00185479245511,447.25484159132827,1594.1103306200532,61102.810666070371,0,1460.4914669138241,2193.4936534805115,78663.31501339847
80,414.13562116160051,1320.7817237920633,6418.5829290471711,5064.6420491615299,1230.8980752328703,1376.6267595512586,2377.5144435447537,38044.387006161152,0,464.13388261363684,1767.3297818162318,58479.032272082266
81,306.10985810015688,378.65178177074182,5058.3305390396317,4246.0975589225109,478.95559622801807,844.99007622623856,2053.421528045767,42283.709146853675,0,700.93848803699848,962.13640312877158,57313.34097635251
82,945.05430050454436,575.70724228403128,8484.2608162651486,4975.0385687049748,676.05924581719512,707.35842451203314,2871.266840015287,85073.114087169277,0,1477.1994206063121,5152.579108725552,110937.63805460437
83,609.82769620215902,798.5854413550453,11474.800757443678,7603.1943203459259,1315.1902257718521,916.12823874334947,2279.8845886831041,39497.727601406092,0,1751.8514908069271,2166.5567155441236,68413.74707630226
84,237.53754433496687,425.04074751874714,6705.8582416156187,5366.300544837075,612.68995526267327,368.47292338805721,1796.0552883598311,29425.389217747685,0,1740.4778994463213,1677.5860050313829,48355.40836754236
85,113.46213433801738,220.64786265389188,1671.023950537543,1284.9100089850197,1089.669982740967,163.17814215031251,438.60520368694682,7097.6919234236775,0,598.9034003801811,340.32723178383168,13018.419840680386
86,86.765358169795391,56.691324476119576,953.41624343546573,722.55922664269713,178.60594061474589,237.81284000232841,575.23980703897018,4554.668425202628,0,44.185892198875734,0,7409.945057781626
87,221.73654545715291,578.24846439498879,5694.3735464112915,5425.2564643152091,916.41346954076664,270.228262996919,1934.5047478326503,20318.646883190086,93.162995604484124,1283.0598189317343,85.495833003471631,36821.12703167875
88,941.70528265913811,2233.7118865778739,18476.018891064687,13063.258259150529,2599.5906166523218,1401.2411404466636,3778.2074442882317,38077.755212589589,0,3162.6660727596022,1404.0692248809748,85138.2240310696
89,226.32320107872769,385.25445504751337,4701.582658403212,3156.5948419113633,964.72105515799092,639.99339887151461,431.09292977476883,3723.3200058830471,0,182.96721163180308,0,14411.84975775994
