destination_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
70,872.70829550406563,5779.3475414479672,23167.077467935334,16771.582796032322,106.42503413171264,3429.7337623465492,2621.0406149879886,0,930.22780561228285,633.1804210060335,54311.32373900425
71,3802.5309461697479,3787.4629969705857,40654.118848964725,12133.536442025226,5924.6291767762323,341.42451081179752,7468.2689425196522,0,4682.0584179070547,1695.5355663783146,80489.56584852333
72,1401.3385334493389,2491.2449115027871,21193.772422708822,7422.5112712750297,1504.2353926630292,888.53264605378934,2037.6142730794199,246.18512503878873,1657.8484431583088,658.65061019847121,39501.93362912778
73,11666.500492453155,10159.476388705169,107412.92479488907,3377.1773508141609,886.15065564159386,2443.3116648753594,5072.6079152144112,0,2551.1196233223932,9730.1569970782912,153299.42588299362
74,6131.6174561504895,9858.0408305608289,41706.242022580896,5953.9301341907476,912.82883392140673,2585.1503147238514,1997.6577380451956,0,1996.0162940847531,1658.098944480626,72799.5825687388
75,517.09011127827819,2994.171154433549,12966.040822802355,4548.1623043226255,1279.1541991889464,941.36288945055276,1812.7896518015204,0,1935.8959592504345,300.1477627035481,27294.814855231813
76,1338.4495931476304,1486.2050328381736,18431.623416774444,3019.6385450156222,376.14857945331386,1895.6903298089619,3024.8569626914368,0,802.79014937473812,395.10342049229337,30770.506029596618
77,977.69277344429315,3443.5452384328682,43612.484558055003,10020.374185326347,1503.2788723814597,17765.354602385672,4485.8793842232117,0,2610.5284982895118,1409.7436942589939,85828.88180679736
78,1248.9185051617469,3764.7691743526238,25884.845621322118,5261.7394649693797,2551.7843440647193,1544.616097036122,2263.3473125083888,0,1358.2102506207254,1086.0081478751199,44964.238917910945
79,4219.9833227154722,3964.7869823193387,39253.020459590218,10818.42918744151,1007.2489655379801,9883.8488838955218,3780.1213025791353,157.69444347390552,4386.008397357582,3037.0566867597404,80508.19863167041
80,462.25524553309805,7682.0749060880571,26289.081582448071,9904.8247388518794,2390.4815411831105,3423.2141993103833,5291.5390331444423,39.875784379226033,1646.231139223195,1787.8887329499903,58917.466903111446
81,1994.8615098054745,7150.3274740160268,32244.816164789452,5526.1332538877869,1480.7925396059768,1340.0247480031885,5312.3202399682104,0,1490.0045642444172,821.60314810997841,57360.88364243051
82,5764.4915168047692,10301.275516221327,62171.454458230422,8610.3324894944744,2426.0586136769211,4310.8570298996283,7615.2035346184412,0,6506.1720260472266,4955.120869678306,112660.96605467152
83,4376.6397595199005,5203.8303737421129,28478.424322753941,18384.807356750003,1390.1516395352785,896.06687189803824,4331.9284886504138,35.791697704671911,2815.3633078047055,2643.5343025507527,68556.53812090981
84,655.09363312663629,3800.624543231198,17360.040119042027,19170.134904558097,1552.4843820005076,687.77222501672406,734.25604979733407,0,2611.5435236130411,1723.5622542600315,48295.51163464559
85,447.13252833374611,231.45584211239046,3755.2041737097975,5745.8377929123963,361.56153892593613,1045.7845028864708,556.21616423640228,0,532.35069136158791,340.32723178383168,13015.87046626256
86,394.59339283250119,1069.5699013249043,3043.6428339454237,2288.2345128599454,22.844679339439356,126.43712265709065,136.90733596552514,0,326.71257554825513,0,7408.942354473084
87,208.82521175341856,2031.3809547280025,15140.248248010263,9357.2491688210248,1379.1456032127326,2231.6728055544445,3216.2846985339161,93.162995604484124,2846.1947421566938,135.98374723075455,36640.14817560573
88,1870.7869220662687,8083.7039596846316,35474.109255942312,20450.309846360866,3740.5614888622263,4209.551151905499,5736.438234066396,0,4205.6821118042526,857.22218687803456,84628.36515757049
89,1085.8854478409205,385.25445504751337,5858.5820577280247,4069.4660628164752,1026.9109549120503,986.88408629369894,502.25668821587101,0,496.61000490538697,0,14411.849757759945
90,1813.783254306556,1867.5963314648498,8630.8111241430561,6683.9284464251296,1300.7472552390009,1526.0342867035581,3155.7827961153794,0,1877.7648285252494,149.02593102868315,27005.474253951463
91,5201.0004820340546,5033.5799690786598,18629.904047309705,14852.181153468855,1380.6697649584401,351.59063222361385,1023.8008578837051,600.42091168482114,4307.8558818038091,1311.1574933902541,52692.161193835906
92,1979.3927214380817,2970.360316899475,22818.450500254516,4246.6215378812967,120.43526580312215,58.054070962990622,568.8171753194747,353.05855413293,5772.5205776972634,572.45605888636589,39460.16677927552
93,1003.2335836895656,4374.1941997052891,29204.598025576721,19124.131580901205,1325.6793173164097,7221.2767742480646,3096.2183321834909,0,6590.3098070846809,1255.9846670237571,73195.62628772919
94,2190.9259813056656,6475.0643774457494,16314.560733669832,3316.9805041743507,1082.0517713456886,1787.4025143581839,4637.6543103929507,325.8817706546314,825.45726821199776,2930.5986311540355,39886.577862713086
95,684.21741209301558,503.05820093030025,12689.284848997706,8921.808948481721,724.10208306180357,628.93149502949609,3086.7533168615842,0,2755.1790496135077,439.49618334002133,30432.83153840916
96,444.54723703279558,796.82007622941705,14083.340729176109,8240.6282183177682,913.94994968555602,1542.9286706930975,2214.5339565926142,0,751.045640863485,44.94310601395469,29032.7375846048
97,670.49320913452038,2358.2464598495794,8390.8937834409171,6095.5125440549846,1592.7554848795037,2944.5851845365587,2562.189343058858,0,509.75152800866056,592.63402531746874,25717.061562281047
98,474.3786063353964,735.30181412963339,9147.9825137546286,5322.3112053527366,381.04662431233834,639.28146682249962,918.80400544102292,374.79313991523844,2339.433130585564,74.63220828615647,20407.96471493521
