work_zone,fixed_address_jobs_outside_home,at_home,no_fixed_address_jobs,total_jobs
265,12862.904368849087,3519.772649198876,1621.4870614209422,18004.16407946891
266,1773.8392497492562,1309.5076375126507,368.7621342211272,3452.109021483034
267,13504.947548307326,2866.895409480348,663.9205614966897,17035.763519284363
268,6922.686604020728,1284.7012451603148,871.6307202930939,9079.018569474138
269,16519.695551619323,2371.268504326309,1497.780752019625,20388.744807965257
270,11264.852777317468,660.9373486234668,373.81870136250546,12299.60882730344
271,12643.720976951943,0,92.6843808097242,12736.405357761669
272,9963.651037267906,2162.2663059442507,3267.9470399046068,15393.864383116765
273,14188.844021872095,2623.945464198507,2940.492530592394,19753.282016662997
274,37289.68462617866,3569.5615325322074,1352.2093325074409,42211.4554912183
275,13870.85061118784,2000.109420709506,2465.4741409737644,18336.43417287111
276,10722.282820591416,3046.0902092827014,2669.614609484426,16437.987639358544
277,12011.859866325982,5448.21673418251,2651.21047831016,20111.287078818652
278,14294.22417082534,5350.229519107253,5634.2386887057055,25278.692378638298
279,5189.006068016786,6417.472512677248,2702.62159270816,14309.100173402194
280,20434.189375890885,1260.2157984362,661.678546169606,22356.08372049669
281,16208.146776134572,2928.8196506817167,140.59984172704,19277.566268543327
282,15264.295744365993,1554.8956065232712,2724.574668001768,19543.76601889103
283,5511.65414047474,1672.9172620144122,1029.4132339852213,8213.984636474375
284,7356.487213566231,2598.493565564771,956.3583538066972,10911.3391329377
285,7343.920380156674,7463.86300624527,11786.370972334687,26594.154358736632
286,21551.657780599733,686.9379165715868,1562.417559581464,23801.013256752783
287,15932.179773736656,1713.8182580509676,1140.242995384482,18786.24102717211
288,9026.277612380794,1589.6733329512865,783.0320589516496,11398.983004283731
289,14606.263185831038,2759.251726337916,3221.1953408315067,20586.71025300046
290,8027.263541108477,5846.576234429611,3001.316297105884,16875.15607264397
291,5778.740109578841,7095.961945175272,9653.685128625702,22528.387183379815
292,6429.668270523129,3076.0392184582893,5961.6917729440875,15467.399261925504
293,10936.189272983003,6650.466485003204,3167.9063128677863,20754.562070853994
294,8715.148364883422,9906.121746306095,15968.224718017273,34589.494829206786
295,13200.622305906303,13290.08087795606,9943.214395473988,36433.917579336354
296,389.01831192038094,955.7198514522338,1034.0859407205787,2378.8241040931935
297,1313.153292494516,473.53653761225416,975.351527511552,2762.041357618322
298,25259.98830592086,13866.095070448802,20128.17738741386,59254.26076378352
299,400.89359151443296,582.2295798529096,947.5503237586627,1930.6734951260053
300,86.3851947914799,0,0,86.3851947914799
301,111332.68023227694,5487.254644546761,3907.770232794668,120727.70510961836
302,24732.58722499929,467.2199175824176,312.4642857142858,25512.271428295993
303,24917.47431137233,2691.4086849597047,259.3265206312672,27868.209516963303
304,28225.822605176658,1139.023051765711,688.187153080635,30053.032810023004
305,19737.288464251047,3533.767012181839,2610.0555084943076,25881.110984927192
306,15762.820981894562,6191.885380405336,5285.298695836407,27240.005058136303
307,8322.409019628207,2682.700460470012,1678.275514638937,12683.384994737156
