origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
137,21336.813988562364,25805.643548070428,47142.45753663279,23268.859110039044,70411.31664667184
138,14510.049223674203,10245.057578238675,24755.10680191288,9456.24365561468,34211.35045752756
139,15944.225131850057,22853.163482599102,38797.388614449155,11897.075961809172,50694.46457625832
140,25502.981606778354,9103.4862524702003,34606.46785924856,23450.4320724173,58056.89993166586
141,41090.569053126907,34266.691921588237,75357.26097471513,76778.31150799716,152135.5724827123
142,40185.436530167426,5542.475282609932,45727.911812777354,24977.81094344513,70705.72275622249
143,-,-,0,0,0
144,50194.427463631073,80126.548891382059,130320.97635501312,50367.497734804085,180688.4740898172
145,5500.6435262954083,4459.2821162945102,9959.925642589918,3404.5495166935743,13364.475159283493
146,-,-,0,0,0
147,18066.395042716187,15489.32861749569,33555.72366021188,11716.055993753344,45271.77965396522
148,14230.002292930683,12466.507919031596,26696.51021196228,9123.132040331056,35819.642252293335
149,0,280.00685782011203,280.00685782011203,0,280.00685782011203
150,36684.53681793945,7524.6342357968479,44209.171053736296,17133.108198178532,61342.279251914835
151,41743.437190534874,33271.7882972277,75015.22548776255,27655.50071548065,102670.72620324322
152,24698.686306803553,27674.529573271961,52373.21588007551,8628.66696970597,61001.88284978148
153,10062.409889203705,17484.478443590244,27546.888332793947,3074.689487226209,30621.577820020157
154,39873.25755644466,36169.997087643947,76043.2546440886,25133.64245288686,101176.89709697547
155,15540.903236532311,6203.4006019445542,21744.303838476862,14234.277804302852,35978.58164277972
156,22780.735572621397,37246.817762984028,60027.55333560542,26959.74739043452,86987.30072603995
157,10952.405335023073,3706.6721724723457,14659.077507495418,6374.819657358249,21033.897164853668
158,17325.834506193198,24795.856675971638,42121.69118216484,15725.270582498775,57846.96176466362
159,32337.73637440267,35019.953372022239,67357.6897464249,36862.22841941301,104219.91816583792
160,18174.657074062023,20702.410809977904,38877.06788403993,28082.378076211233,66959.44596025116
161,24185.952046330294,28765.241284437492,52951.19333076778,38604.35115383622,91555.544484604
162,11619.620855585586,18364.984571859175,29984.60542744476,14086.836226215572,44071.44165366033
163,23373.536832506416,31188.996416594997,54562.533249101405,22523.47011291012,77086.00336201151
164,9345.7326029905598,9430.2158827282383,18775.9484857188,3128.2027343678647,21904.151220086664
165,14310.064733491088,4481.7757244233107,18791.840457914397,1203.7945216055666,19995.634979519964
166,41619.506535664201,43595.731939305886,85215.23847497009,22514.259278615133,107729.49775358522
167,52320.929388235178,39657.709023958749,91978.63841219392,10827.418379807235,102806.05679200117
168,39873.478524131613,23770.58989778543,63644.06842191704,10139.881965469702,73783.95038738675
169,49033.004550543701,31953.542343641126,80986.54689418482,20988.201210099574,101974.7481042844
170,48124.204422037648,38481.58987329674,86605.79429533439,29566.89632340416,116172.69061873856
171,23094.587321689167,24382.138633591545,47476.7259552807,20393.63815870169,67870.3641139824
172,21961.655645015893,11952.726367001671,33914.382012017566,10048.981132864808,43963.36314488237
173,12823.703473400168,9640.4133690436338,22464.1168424438,6234.539939113062,28698.656781556863
174,27805.133600120844,6896.8186202891329,34701.95222040998,19611.727379685726,54313.679600095704
175,14494.193280668733,4939.0173266434285,19433.21060731216,4788.4904347955335,24221.701042107696
176,24089.99856348717,11042.385683997381,35132.38424748455,17549.452677689696,52681.83692517425
177,7825.8767109313503,5199.4066960296041,13025.283406960954,6114.425961396679,19139.70936835763
178,1406.0713271616023,99.770884616445443,1505.8422117780478,7237.368242181375,8743.210453959422
179,-,-,0,0,0
180,39708.762341949594,18652.652757565211,58361.41509951481,43619.243976650825,101980.65907616564
181,34096.908378699292,21682.852841350639,55779.76122004993,15285.387299241069,71065.14851929099
182,20097.448915434095,28518.604175914137,48616.05309134824,21917.59247366573,70533.64556501397
183,26184.753811243765,16900.65518947348,43085.40900071725,14454.960290909698,57540.36929162695
184,13796.174799241542,7916.3596193959065,21712.53441863745,8307.841816743938,30020.376235381387
185,10654.599276585728,11046.853395369068,21701.45267195479,20101.01167162468,41802.46434357947
186,4777.1430645329056,6527.7563686376525,11304.899433170558,6100.027798102829,17404.92723127339
187,22780.533080412089,14016.617069575823,36797.15014998791,39431.154416597565,76228.30456658549
188,26456.888032757943,24458.503424388618,50915.39145714656,22226.18235274216,73141.57380988871
189,34814.625661420199,10540.597476058043,45355.22313747824,28772.645750063493,74127.86888754173
190,30444.957291853691,23312.453956843739,53757.411248697434,12186.873227051352,65944.28447574879
191,19327.676930257257,14890.842899617151,34218.51982987441,350.426602505539,34568.94643237995
192,18013.08065028155,13180.728832688792,31193.80948297034,19526.750929240625,50720.560412210965
193,14703.965749960324,6778.7656495862093,21482.731399546537,3294.5930422879887,24777.324441834524
194,13422.901197641997,6816.313210365648,20239.214408007647,11333.723906941466,31572.93831494911
