destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
43,19569.12437825244,928.968034047604,13902.328262854897,401.0388319879927,2292.866598395129,18059.265375304803,5513.694199460854,0,3173.0755972779507,1069.7517483717493,0,248.09606245388832,12158.137463314655,0,77316.34655172196
44,4703.381314754772,4017.223504021424,7214.488471879307,0,774.3972462979966,16563.92063964189,5500.376800465937,0,3723.7853123120103,448.8295560977811,0,852.278887212906,10196.945943304656,0,53995.62767598865
45,15497.11704777584,5855.788411917721,9789.923651481635,0,3762.8949138756902,25458.311570169055,9808.673733638345,197.99302943546132,3317.2445344893235,1789.1606560210205,699.9782706219528,0,11289.247150587558,0,87466.33297001361
46,1963.3465078426425,2154.9286898540554,8831.289366204273,208.8720377102618,3850.511938158309,15834.393639274993,1887.45692783032,0,1085.1689011741178,500.1860555586837,0,0,22123.615656366095,0,58439.76971997372
47,2253.09030952035,0,2794.287390391739,608.5777618214402,673.0235393831556,10357.381575048472,2062.1082157449646,0,1697.7588790471864,1050.7461164950482,329.23715818964524,397.4223765924166,10198.045178866998,0,32421.678501101436
48,2293.1538048850393,1493.6435644430762,5247.314292987548,155.2052011958815,2285.373944719925,11406.613071951717,6890.019124497113,0,621.25471628331,942.7942626307619,346.06478147399184,327.7840121966856,7084.960144147442,0,39094.180921412495
49,15739.545234226993,0,2188.746538859651,0,1097.714170535996,7850.345979542831,1962.3437151716944,57.78450667383211,2747.2518271592176,243.80378954539208,0,697.830347576584,4836.218810934924,46.91686214943278,37468.50178237656
50,1958.5169498719065,66.33788387350904,2440.7567419172965,0,1176.356200030853,4236.33785464818,1099.6499572289215,253.30978595988475,253.42651622261616,1095.8506845219947,0,357.3877572935918,4544.124721676993,0,17482.055053245746
51,8312.80910252958,0,2065.412031870415,0,1281.1420767210568,10292.971530598532,1891.7654201520943,163.79049184388035,617.2388134523206,435.29809960528746,0,169.67489824638724,2982.9474355908724,145.72567706256936,28358.775577672965
52,7518.289606987892,875.7031636235895,2046.5985628349624,0,85.07557291019289,8270.499717040317,1618.594746110999,60.81797210806234,228.60113437516225,0,0,95.52012159473988,3303.666387440545,0,24103.366985026463
53,14988.971474258607,354.90716494491016,10066.067760646016,0,758.48746081571,13634.385309045352,3461.6248247020367,598.3118808669785,1507.7852856432842,353.86125457858725,187.9674666169945,290.5191378947004,9712.987891489602,0,55915.87691150279
54,19488.132751205016,549.8202482587074,6612.956096594379,24.093241191043344,753.1625494517698,12108.767075792388,3919.972496006911,506.53390987546624,3913.9285974177888,1305.3845720039376,74.1636485479993,260.61936429789125,9659.815890412878,0,59177.35044105615
55,16519.415128093035,652.3951919514537,2398.4641914633153,342.89863959513565,1472.991140427259,10096.45980106988,2187.6465232334967,14.731340000270718,2783.469935777585,3301.1352989775096,0,863.913912522601,10627.959992607584,0,51261.4810957191
56,12132.825005403687,0,7141.710007146376,0,6587.437083070049,7210.97806137296,3018.00046321392,271.29704309983805,2394.53375630124,1314.1069010107635,0,333.46092848153876,13369.256455462968,0,53773.605704563335
57,22956.506095452623,1120.7316973096115,5576.970897045665,0,1798.394104886188,13399.94172278181,1911.1081265577916,549.1271720157558,5082.242112595433,271.9943732070945,0,803.3369756835388,13512.18012786816,46.91686214943278,67029.45026755317
58,13938.960710981168,180.62777004294023,7199.856311530947,266.5431750433479,1991.1455149641065,17776.147593726506,6105.253464320614,98.18559133897128,2394.226704060227,98.57232724577466,0,426.8144921270133,12486.889002823022,0,62963.22265820465
59,25371.649632945628,0,13099.874382691623,0,451.8794104012719,21267.87845818199,4335.606394467115,1007.8126587924994,5260.917952187426,1269.5818281409245,0,206.144721463477,13370.553216663411,0,85641.89865593535
60,4398.4442740817385,470.942403863573,6776.849841238418,0,666.5461255124067,14029.793294393012,1203.8263746607922,287.66372988722094,3330.1465077801295,3165.1868839029808,0,637.8280263858851,6876.680814884603,0,41843.90827659072
