residence_zone,income_up_to_2640,income_2640_5280,income_5280_10560,income_10560_15840,income_above_15840,total
121,25253.331046447944,45070.728048235185,12024.940905316862,0,0,82348.99999999999
122,13926.255204658533,21611.855034954682,11386.984278304322,883.90548208244604,0,47808.999999999985
123,13910.011912269121,32188.161425437582,9814.7040644095032,6716.1225978837983,0,62629
124,5126.5025552767156,25470.008168283915,20151.166311346275,2371.0666804228322,3411.2562846702453,56529.99999999998
125,3035.7144145651559,22772.730307474238,21178.023347777005,3634.2655472282945,1332.2663829552869,51952.99999999998
126,2914.9229184713417,12611.539245464124,13316.618308676208,4159.2759663196593,1291.6435610686501,34293.99999999999
127,1379.253844097525,14239.017793921512,27213.739072039749,10155.212777537035,1415.776512404165,54402.999999999985
128,178.81294786965603,356.10267199160415,1179.7582099721756,184.12496166921122,247.20120849735306,2146
129,123.61965309751049,1578.7424564286489,1438.8432629927149,484.35244259687016,198.44218488425381,3823.999999999998
130,1247.5338259888169,1696.2709904935757,1919.5494669162972,377.39719813324029,414.24851846806826,5654.999999999999
131,290.39912750279888,529.43534802311581,567.00747581108124,42.158048663004109,0,1429
132,-,-,-,-,-,0
133,0,6828.0138767318167,18314.329530452163,4180.0284808269844,9461.6281119890245,38783.99999999999
134,616.616854840678,4094.3669886843163,15939.944142870814,5152.0048551616201,6263.0671584425872,32066.000000000015
135,2732.1444637121672,4864.5065241572111,14694.036182421887,5575.0259223568264,6794.2869073519032,34659.99999999999
136,7017.6436952069535,5036.1600965457837,9965.6219131011276,6563.2312737301854,3511.3430214159507,32094
137,3095.2528792318253,23331.146509514059,14378.27065064037,4141.8874259606673,5496.4425346530488,50442.99999999997
138,1359.443869567217,4988.1579724734047,4892.9579805130988,670.44017744628491,0,11911.000000000007
139,7598.5212708081617,5537.2645217004547,6958.2280957861049,4166.1281824320795,3307.8579292731993,27568
140,8944.3396814626449,14134.4552573248,15882.717053108199,4826.9644262306238,1152.5235818737219,44940.99999999999
141,12248.546012687511,32974.848942975703,29943.753516329078,3976.3755592163807,3587.4759687913402,82731.00000000001
142,19689.241170218276,31056.62378362548,8723.3023399545837,4727.8327062016888,0,64197.00000000003
143,-,-,-,-,-,0
