destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
152,25387.007217281243,26890.528452558658,52277.5356698399,8549.947520129917,60827.48318996982
153,10158.687624357424,17232.827415620839,27391.515039978265,3074.689487226209,30466.20452720447
154,37675.615763641232,38563.466744301717,76239.08250794295,25133.64245288686,101372.7249608298
155,15403.075936461555,6203.4006019445542,21606.47653840611,14234.277804302852,35840.75434270896
156,23414.421620667457,36869.158997133381,60283.580617800835,27372.890470322945,87656.47108812377
157,10748.167661549678,3771.2289745914122,14519.396636141088,6378.155829978441,20897.55246611953
158,17585.198289085492,23615.611943301097,41200.81023238659,16787.639231762638,57988.44946414923
159,32674.875129597025,33585.967022219244,66260.84215181626,35796.52359752895,102057.36574934522
160,20149.705718098914,21116.240472459409,41265.94619055832,26153.1632511713,67419.10944172963
161,24140.596120550228,29052.273278594155,53192.86939914439,38287.2541138864,91480.1235130308
162,11368.802133992265,17800.476473241273,29169.278607233537,15103.168860925569,44272.4474681591
163,22975.766285453417,31503.79797226068,54479.5642577141,22375.516003236226,76855.08026095032
164,9697.2246949453256,9203.5255016420324,18900.75019658736,2613.1172376608138,21513.867434248175
165,12818.279549020561,4365.5994709797869,17183.87902000035,3133.0093466454987,20316.88836664585
166,41340.267774431086,43574.205826708887,84914.47360113997,22514.259278615133,107428.7328797551
167,52437.083315954944,39765.12143601857,92202.2047519735,10617.59010022294,102819.79485219644
168,39343.36341769572,23508.863349536252,62852.226767231965,10216.9175700026,73069.14433723455
169,48474.89589061751,32419.809044564787,80894.7049351823,20913.81493767143,101808.51987285372
170,49571.99797494337,36225.853846665836,85797.8518216092,29357.228990859538,115155.08081246876
171,22560.79240199894,24441.658215471834,47002.45061747078,20757.218755429905,67759.66937290068
172,22446.128353577762,11510.279069020466,33956.407422598226,9685.400536136596,43641.80795873482
173,12510.826076011264,10523.273168061967,23034.09924407323,5963.896246789178,28997.99549086241
174,27852.175043049381,6896.8186202891329,34748.993663338515,19611.727379685726,54360.72104302424
175,14152.50259691775,5076.9468941858431,19229.44949110359,4788.4904347955335,24017.93992589913
176,23719.73401934496,11575.931774932369,35295.66579427733,16742.8347894848,52038.50058376213
177,6915.7255032219673,5154.8408410238753,12070.566344245844,6921.043849601576,18991.610193847417
178,1944.1890622682506,63.412903850014985,2007.6019661182656,6746.263359287275,8753.86532540554
179,-,-,0,0,0
180,38704.346266643639,18236.028369423402,56940.37463606704,44110.34885954492,101050.72349561196
181,34061.070241761627,21714.845681398849,55775.91592316047,15503.670113499928,71279.5860366604
182,21058.666367564121,28656.112325508391,49714.77869307251,21762.914384344625,71477.69307741713
183,25696.673474872478,16461.27378293296,42157.94725780544,14880.28207255469,57038.22933036013
184,13506.09043685255,7916.3596193959065,21422.450056248457,8307.841816743938,29730.291872992395
185,11057.771610322639,11234.681180558871,22292.45279088151,19998.140351980644,42290.593142862155
186,4161.4034995017983,6728.9574440931574,10890.360943594957,5927.841040558672,16818.201984153628
187,21985.286639482914,14845.453105928495,36830.73974541141,38482.89079397964,75313.63053939104
188,27465.804432020126,24122.603660278786,51588.40809229891,21916.16511674654,73504.57320904545
189,35151.50183973911,11177.796442581192,46329.298282320306,28772.645750063493,75101.94403238379
190,30937.989813450422,22599.421415492485,53537.4112289429,11829.024635824417,65366.43586476732
191,19059.715671460111,15597.560483968165,34657.27615542828,350.426602505539,35007.70275793382
192,16992.258399312101,13968.012229586991,30960.270628899092,19816.38629717288,50776.65692607197
193,13807.594032879993,7365.5621740587767,21173.15620693877,3294.5930422879887,24467.74924922676
194,14195.948238135126,6226.1332872680141,20422.08152540314,11044.088539009208,31466.17006441235
195,20161.738521214626,16769.511775703166,36931.250296917795,19002.330367433296,55933.58066435109
196,12240.358912582962,17830.277067945084,30070.635980528044,25932.149009959427,56002.784990487475
197,21085.368750239093,13330.017292255761,34415.38604249485,9698.957360210588,44114.34340270544
198,40034.425031536848,24609.686869930098,64644.111901466946,22875.36782395668,87519.47972542362
199,41253.821693796781,25566.377806190249,66820.19949998704,70204.35608689216,137024.5555868792
200,22006.708436382371,4968.8335077879046,26975.541944170276,21232.810995870233,48208.35294004051
201,31599.429344592492,15108.006991413793,46707.436336006285,59659.48588696917,106366.92222297544
202,38441.573658722577,43145.665530200698,81587.23918892327,45037.55554691397,126624.79473583723
203,27467.824314701349,8273.9360354157634,35741.76035011711,44059.38819460255,79801.14854471966
204,48075.202360718766,34990.655190508653,83065.85755122741,57722.2657396735,140788.1232909009
205,43794.535829382163,19017.244718611171,62811.78054799333,67169.28157931978,129981.06212731313
206,27994.676650150843,20660.644044585624,48655.32069473647,24245.127420286408,72900.44811502288
207,35821.743910997859,31028.321508890032,66850.06541988789,79288.34419237431,146138.4096122622
208,36308.530229025775,30243.145862824265,66551.67609185004,14226.368678763034,80778.04477061307
209,20803.635921272758,35347.938947285911,56151.57486855867,12836.19846634278,68987.77333490146
210,29609.328781132597,27883.954376272446,57493.28315740504,5816.730106387709,63310.01326379275
211,26175.714084065516,34750.25459647338,60925.9686805389,10377.41398178852,71303.3826623274
212,23561.428007706843,18800.621395220976,42362.04940292782,13229.50915239524,55591.55855532306
213,29985.384051205037,30604.207186574578,60589.59123777962,14382.518585061973,74972.1098228416
214,16015.835381959854,17646.957826825786,33662.79320878564,4649.109636157534,38311.902844943164
215,21955.517781350169,23624.382901788485,45579.90068313865,14103.015265957683,59682.915949096336
216,16787.141204585292,24582.340795453441,41369.48200003873,20545.20835672434,61914.69035676307
217,14953.404854875873,9859.7876266637704,24813.19248153964,8540.259423878904,33353.451905418544
