residence_zone,male,female,no_response,total
45,14122.829626790835,19723.170373209174,0,33846.00000000001
46,16679.916593634229,20200.267909834194,232.81549653156301,37112.999999999985
47,10819.233242763354,14907.518497147226,278.24826008941898,26004.999999999996
48,10642.712269684213,14159.287730315793,0,24802.000000000007
49,7106.2855827602498,7754.7144172397539,0,14861.000000000004
50,5274.7721080023284,4287.2278919976707,0,9562
51,7397.0630161597119,8487.9369838402999,0,15885.000000000013
52,4099.825330988886,5423.1746690111077,0,9522.999999999993
53,8070.7780934919792,5985.2219065080171,0,14055.999999999996
54,4241.2121828143363,4203.7878171856628,0,8445
55,7054.3235900064992,8424.6764099935026,0,15479.000000000002
56,8714.6841655976314,11704.315834402358,0,20418.99999999999
57,10769.412338870179,11449.587661129819,0,22219
58,12058.98650402292,22268.013495977088,0,34327.00000000001
59,23237.959653274353,26883.040346725644,0,50121
60,7084.9102438369964,13590.089756163014,0,20675.00000000001
61,13265.844578983595,13272.155421016429,0,26538.000000000025
62,2141.4639452695742,2797.5360547304249,0,4938.999999999999
63,917.82753062612426,1132.1724693738768,0,2050.000000000001
64,14915.785111145602,16424.214888854374,0,31339.999999999975
65,11406.857227059738,14905.142772940251,0,26311.99999999999
66,4883.6956788152165,5498.3043211847853,0,10382.000000000002
67,4644.0647118022871,4266.9352881977111,0,8910.999999999998
68,12247.273822193492,13352.726177806477,0,25599.99999999997
69,4887.828152505168,5764.1718474948257,0,10651.999999999993
70,6661.6882977747364,6709.31170222526,0,13370.999999999996
71,12872.719132394594,18428.280867605401,0,31300.999999999993
72,6247.204358258673,6931.7956417413334,0,13179.000000000007
73,5009.9981236908397,4860.0018763091593,0,9870
74,5712.7315051502655,5811.2684948497454,0,11524.000000000013
75,6083.846638179255,7155.1533618207477,0,13239.000000000004
76,4391.3709754403999,4832.5861597983157,25.0428647612821,9248.999999999998
77,10715.095082784497,11616.90491721551,0,22332.000000000007
78,8638.8360855312276,9356.1639144687924,0,17995.000000000022
79,4720.9715091088574,4833.0284908911399,0,9553.999999999996
80,8207.8899885516348,10867.110011448358,0,19074.999999999993
81,5707.2514668080485,6204.748533191957,0,11912.000000000004
82,5298.2499525620387,7099.7500474379585,0,12397.999999999996
83,11273.221145549505,12105.778854450493,0,23379
84,7178.3402269166809,9519.6597730833273,0,16698.000000000007
85,2200.6984424995289,2090.3015575004702,0,4290.999999999999
86,1386.1890076524294,1644.8109923475683,0,3030.9999999999977
87,7501.0508210291055,9247.9491789709173,0,16749.000000000022
88,18874.019395306041,20257.980604694007,0,39132.00000000005
89,4841.8073735816688,7483.1926264183339,0,12325.000000000004
90,6076.4803631931136,6632.5196368068819,0,12708.999999999996
91,5288.0365501683909,9051.96344983161,0,14340
92,1524.9732026143793,1961.0267973856205,0,3486
93,4795.4059333064988,5556.5940666935012,0,10352
94,2510.5546403323133,3578.4453596676849,0,6088.999999999998
95,7829.3966948988191,8541.6033051011837,0,16371.000000000004
96,3194.1877345543539,3231.812265445647,0,6426.000000000001
97,6612.8924556116999,8877.1075443883074,0,15490.000000000007
98,3575.8287860899436,5256.1712139100573,0,8832
99,4013.1757260461977,4733.8242739537973,0,8746.999999999995
100,8578.0435694996067,15129.956430500393,0,23708
101,8677.3171586762728,12887.682841323725,0,21565
102,6118.0844026202367,5936.915597379767,0,12055.000000000004
103,1140.5370770092643,1362.4629229907357,0,2503
104,2860.5153782924326,3528.4846217075601,0,6388.999999999993
105,6716.5946778607176,6284.4053221392787,0,13000.999999999996
106,3349.4973498501572,3654.5026501498428,0,7004
107,8111.2999421533532,8249.7000578466559,0,16361.000000000007
108,2569.1997002802837,2715.8002997197163,0,5285
109,53917.563231054875,65730.436768945103,0,119647.99999999996
110,23417.05940101029,41124.940598989677,0,64541.99999999997
111,20775.322115535913,30455.677884464047,0,51230.99999999995
112,21871.043488843006,17989.956511156994,0,39861
113,12181.195273978845,13162.804726021152,0,25343.999999999996
114,-,-,-,0
115,21419.825010258723,30540.174989741248,0,51959.99999999997
116,84566.04352441286,79571.202201342516,770.75427424468705,164908.00000000006
117,31838.805794138345,30143.194205861666,0,61982.000000000015
118,7782.9692196244278,7467.0307803755695,0,15249.999999999996
119,39331.167757049618,50571.832242950339,0,89902.99999999996
120,-,-,-,0
121,34425.057149861401,47923.942850138585,0,82348.99999999999
122,24333.338838431784,23475.661161568205,0,47808.999999999985
123,30146.525818141978,32482.474181858044,0,62629.00000000002
124,27045.446280764016,29484.553719235948,0,56529.99999999997
125,22479.214701816734,29473.785298183233,0,51952.99999999997
126,16077.080503844847,18216.91949615514,0,34293.999999999985
127,26598.610872120295,27403.64632128899,400.74280659071201,54403
128,966.30326230930575,1179.6967376906946,0,2146.0000000000005
129,1351.5005531904774,2472.4994468095197,0,3823.9999999999977
130,2614.9027613908524,3040.0972386091471,0,5655
131,753.94660874505757,675.05339125494231,0,1429
132,-,-,-,0
133,14487.243252636381,24296.756747363608,0,38783.999999999985
