residence_zone,formal_employee,informal_employee,public_employee,independent_professional,self_employed_registered,self_employed_unregistered,employer,family_business_owner,family_worker,total
101,5327.418246739657,0,926.328259914606,425.68625523913306,1475.7525509964191,2175.812519408217,136.412847661598,294.2608057299653,72.37778328874988,10834.04926897835
102,2867.3378154191455,41.5790678751773,370.97363292447983,135.2231057353624,2737.643102784006,675.3615602555076,0,69.0482715616662,0,6897.166556555346
103,617.8966034105371,0,22.5223682243628,58.22573583103374,488.9522946850042,168.34120019248417,6.23570122058864,17.7489049638885,0,1379.9228085278996
104,2164.094553399206,104.1613488433966,82.5229454840215,95.81739117930391,863.0985349884454,342.9972351601534,12.7293628091613,26.4671041586122,0,3691.888476022301
105,3396.9934813536697,164.5992092381257,114.0143256122574,736.629430467619,2259.278638760444,769.3052779729975,147.3812698664304,0,0,7588.201633271544
106,1813.4711992653256,181.48926847538223,0,0,422.51473751033416,1378.9824484493697,0,0,0,3796.45765370041
107,5388.072288101828,267.7291471303176,438.2186598156823,961.7668030250175,1905.710890855617,697.9501778408209,0,545.7563907201238,123.9473860302912,10329.151743519706
108,1127.5811404378655,234.77373412392643,0,308.2515767598936,314.2947262160075,496.49260094110423,0,319.1380922979966,33.7574449991188,2834.2893157759136
109,27362.622928237688,3418.179790128211,0,2201.1517886678203,12564.046162848274,10248.329397430924,0,325.375199827523,899.89232144124,57019.59758858169
110,21662.548095357004,3797.2267116119424,1702.158031538736,0,2807.2479129587764,4981.073018618287,0,390.914650141167,281.58564726383503,35622.75406748974
111,16529.27442647028,2487.689323019857,528.097717108599,302.343772432857,4921.3226591224775,2333.0361077776006,292.579448017583,0,0,27394.343453949245
112,8953.284989334454,1702.37499115606,358.22244672082,164.956471992746,2130.0923985155414,3579.279397098127,0,480.17062994740104,0,17368.38132476515
113,6044.51714782845,671.3479886671602,206.90843903949332,285.781990122514,1509.249555579304,2146.544484839157,0,759.1004252965259,324.20583963318,11947.655871005782
114,,,,,,,,,,
115,12824.551606339115,2463.123560590156,941.207771007803,213.040917921313,3338.117846556791,4507.8536450839565,139.064766358185,0,0,24426.96011385733
116,46383.87920716342,3318.738753767416,2898.6853082432126,0,5248.902421504615,16051.645253330133,0,582.6388720603329,1088.0375631087811,75572.52737917792
117,17706.411189010487,5370.92253977715,1260.667905573051,347.703700060797,3839.418140511744,7392.636729881978,0,1138.908175274134,0,37056.668380089344
118,3425.8994199782596,86.3851947914799,325.7922921213429,0,681.0166579273416,1187.1754572558325,73.6814896750858,595.2986102653994,493.84280950952353,6869.091931524263
119,22660.70910662076,0,1998.792129251174,0,3623.522801812562,9554.50531351308,348.481948483173,1967.063014971895,527.740807094541,40680.81512174716
120,,,,,,,,,,
121,20571.159419623753,4415.002080594165,0,0,2877.9162194955697,7241.907520680535,515.976612964355,0,0,35621.961853358385
122,11170.913573282976,3555.685216162303,770.926218960038,441.952741041223,1872.7735003453165,4067.0053976584695,0,1161.531007088827,1024.895323555066,24065.68297809421
123,17189.200248052286,2491.07314175908,1827.9462694232152,0,1433.673316520612,6482.735226150657,0,1160.02949676757,445.575880415835,31030.233579089258
124,15953.03130385031,1436.9062251123378,770.1868336255421,0,1489.9115376919433,8715.128242220304,0,0,0,28365.16414250041
125,14579.192339579247,1059.1877705039833,884.8901208085549,0,4636.319314633097,5488.103554921386,178.004355581279,0,0,26825.697456027552
126,13900.031290510857,912.5205189850145,274.808539605939,106.164791987808,1293.855878980336,2173.986187003041,0,111.482958028338,0,18772.850165101332
127,18653.977933252452,978.654456535157,770.9213798673591,1741.2477243253988,2530.3680586433543,3743.2673601366346,0,777.091238660779,441.953382499186,29637.481533920316
128,592.512241417318,132.82403677259225,132.68915155063638,83.6443162446708,163.5980843673031,210.07630977071233,0,16.418406115121,33.728676266125,1365.4912225044793
129,898.6154708622729,297.8975717604281,213.4881483671925,0,168.2509983446076,267.30954230287074,19.5180391046284,51.6351839470741,0,1916.714954689074
130,1372.8106996759732,603.1366816155698,99.673632774666,43.8447064991199,79.0588055992351,910.3194232163886,43.8447064991199,72.0172625900438,0,3224.7059184701184
131,375.662409699621,67.4074856146016,14.97944124768922,0,50.6026807613196,245.90850649187217,0,42.15804866300411,0,796.7185724781077
132,,,,,,,,,,
