residence_zone,no_cars,one_car,two_cars,three_or_more_cars,total_families
272,3060.170940170938,4972.777777777775,918.0512820512818,0,8950.999999999995
273,8795.173076923073,12961.307692307684,2314.51923076923,0,24070.99999999999
274,6156.482142857137,5928.46428571428,684.053571428571,0,12768.999999999987
275,5935.471698113199,8012.886792452818,1780.6415094339602,0,15728.999999999978
276,18338.46666666668,11326.700000000004,2696.833333333335,0,32362.000000000015
277,7377.333333333329,12813.263157894728,1941.40350877193,0,22131.99999999999
278,30525.355555555583,13293.29999999997,738.516666666666,0,44557.172222222216
279,17050.119402985078,10960.791044776122,0,0,28010.9104477612
280,2619.102040816326,5641.142857142855,1007.34693877551,604.408163265306,9871.999999999996
281,1903.261538461536,11181.661538461518,2141.1692307692283,237.907692307692,15463.999999999976
282,3955.1999999999994,7415.999999999996,2224.8,0,13595.999999999996
283,896.538461538461,4226.538461538457,1536.9230769230765,0,6659.9999999999945
284,11241.6,6370.2400000000025,1124.16,374.72,19110.72
285,21893.850000000013,17249.700000000008,1326.9,0,40470.45000000002
286,1487.3396226415086,2712.20754716981,437.452830188679,0,4636.999999999998
287,3492.679245283025,5433.056603773593,970.1886792452848,388.075471698114,10284.000000000016
288,1754.6666666666622,3258.6666666666583,1253.33333333333,375.999999999999,6642.66666666665
289,5794.199999999999,7725.599999999997,2575.2000000000003,0,16094.999999999996
290,7406.399999999999,7776.719999999998,3332.880000000001,0,18515.999999999996
291,14691.703703703695,10900.296296296294,0,473.925925925926,26065.925925925916
292,10286.06,11627.72,1341.66,0,23255.44
293,11948.283018867924,15584.716981132073,0,0,27533
294,21844,13208,1016,0,36068
295,26485.200000000015,16921.100000000006,1471.4,0,44877.70000000002
296,5161.680000000003,2294.080000000001,0,0,7455.760000000003
297,353.6666666666665,1343.9333333333332,282.9333333333332,141.4666666666666,2121.9999999999995
298,29726.2818791947,19592.322147651044,1351.194630872484,0,50669.79865771823
299,2880,2160,144,0,5184
300,,,,0,0
301,7223.333333333327,9193.333333333321,984.9999999999989,328.333333333333,17729.999999999978
302,535.3142857142856,2208.1714285714265,1405.1999999999991,535.3142857142856,4683.999999999997
303,3085.811320754716,4261.358490566037,440.830188679245,0,7787.999999999998
304,1428,3366,918,102,5814
305,17128.960000000006,9635.039999999999,1070.56,1070.56,28905.12000000001
306,22218.66666666672,17705.50000000004,1388.666666666668,347.166666666667,41660.000000000095
307,18224,9681.5,569.5,0,28475
308,26338.5934065934,13816.967032967035,863.56043956044,0,41019.12087912087
309,9969.365384615394,5119.403846153851,269.442307692308,0,15358.211538461554
310,14237.74757281552,7118.873786407768,209.378640776699,0,21565.99999999999
311,6434.048387096798,2842.9516129032345,0,0,9277.000000000033
312,20967.875,7584.125,446.125,0,28998.125
313,7194.240000000003,7793.760000000003,0,0,14988.000000000007
314,5102.72,2710.82,159.46,0,7973.000000000002
315,24699.499999999964,9997.41666666666,588.083333333333,0,35284.99999999996
316,28591.73333333333,13214.666666666675,1441.6000000000015,0,43248.00000000001
317,1447.2972972972973,3618.2432432432433,643.2432432432432,321.6216216216216,6030.405405405406
318,83.54999999999997,352.76666666666625,501.2999999999991,185.6666666666666,1123.283333333332
319,2486.689655172422,4388.27586206898,1609.0344827586262,0,8484.00000000003
320,391.77419354838656,1455.1612903225805,1119.3548387096769,503.70967741935414,3469.999999999998
321,19208.056451612854,4857.209677419353,2428.6048387096766,883.129032258064,27376.99999999995
322,3087.037037037041,9878.518518518536,3395.7407407407454,308.703703703704,16670.000000000025
323,2690.165562913911,13767.317880794744,6804.536423841066,632.980132450332,23895.00000000005
324,9877.719999999998,13516.879999999992,2599.4,519.88,26513.879999999994
325,16522.37999999999,9060.659999999996,532.98,532.98,26648.999999999985
326,7627,6049,526,0,14202
327,14599.679999999997,5931.119999999998,1824.96,456.24,22811.999999999993
328,1318.1333333333346,5602.066666666673,2438.54666666667,527.2533333333336,9886.000000000011
329,2676.0344827586155,4879.827586206889,1259.310344827584,314.827586206896,9129.999999999984
330,2411.907563025201,8284.378151260473,1677.848739495792,104.865546218487,12478.999999999953
331,6865.200000000003,9268.020000000004,686.52,343.26,17163.000000000004
332,9029.800000000001,6598.700000000003,1041.9,694.6,17365.000000000004
333,7956.500000000004,7001.720000000003,954.78,0,15913.000000000007
334,3437.596153846147,5257.49999999999,1415.480769230766,404.423076923076,10514.99999999998
335,5458.36,8348.08,2247.56,0,16053.999999999998
336,5010.333333333324,7957.588235294103,2063.078431372546,0,15030.999999999973
337,5416.76470588236,7222.352941176481,5055.647058823536,1083.352941176472,18778.11764705885
