origin_zone,public_transport_minutes,individual_transport_minutes,walking,bicycle
135,48.935496318337506,25.341851411714927,33.547322002040865,15.512697584838204
136,50.043221884066035,22.919048622382313,0,9.4607757496924361
137,43.927389774049757,18.454060460087621,10,14.042857010117443
138,42.252118922531281,27.092376164510924,5,12.850969608400458
139,64.179624343298713,26.998009729903181,12.5,14.369384220566941
140,48.20094289717467,19.192427649895965,0,9.1396403666373711
141,45.357643066088691,17.756378728571338,8.8155548065102352,6.48466854264906
142,63.881959155623484,28.168218756523597,0,11.02538928949525
143,-,-,-,-
144,55.232891976625453,28.000354783313153,50,15.746401896123693
145,54.818084236861303,24.902434856298047,0,10.627774087470446
146,-,-,-,-
147,48.283117458616232,28.329902926665966,27.5,16.226209128936652
148,57.250579957979348,30.315298690456189,10,7.7107504927890602
149,-,-,-,-
150,67.786335760233897,38.665164426472352,0,7.9732365430602403
151,52.195364426696145,30.823050607147231,0,9.3476268897177803
152,47.47784346982548,23.8806294551562,0,9.5874473749458424
153,54.758720910238488,20.735846243155173,0,10.409403705090213
154,43.191149372253719,28.265311381872031,0,8.6455900065373381
155,49.085061678151199,26.998731294322795,0,11.959059348825633
156,54.914853350512729,20.609730576627303,35,10.891359620408886
157,38.190073659520742,22.809160382822668,12.318504968633604,11.26035312129908
158,46.166324521642331,14.562270829892078,0,10.645485631239344
159,42.620204912280961,25.226080894374526,30,13.330178140281223
160,53.73615347472559,27.689935445797524,0,13.448674788857792
161,38.60920061506544,25.998979006609961,12.35063628421446,14.872384811653884
162,41.860606732769675,35.697208532194928,0,11.35621656400566
163,38.72655587124283,26.138571490594138,0,13.729215233429425
164,41.862922363302367,22.828759204325991,11.162342577936824,13.644639671393337
165,42.091740127231553,25.476854206296242,0,12.973184768264295
166,45.103252810010673,26.390639084026503,0,11.980110063694266
167,45.009910120478686,41.305047170573189,0,13.530699443503364
168,38.476813012580841,31.821251346912629,10,10.947805233443715
169,43.046323866225258,20.56074019076129,0,13.093461265761388
170,32.229731848776453,23.589212423769993,0,12.176022521356051
171,51.388855725008888,22.149907483020346,0,13.897645220631727
172,57.859046040717757,21.23133530635123,42.5,11.02505829709632
173,51.849256686496467,31.681191487195722,0,12.48333465681973
174,67.26887504568802,34.219726864728216,0,7.7914036223557686
175,53.096536956388981,49.348291281368738,0,17.899648666220312
176,66.3197090916603,59.609456608469955,0,12.846160345263657
177,48.580339199474118,22.069677046273053,0,12.265119212774328
178,-,-,-,-
179,-,-,-,-
180,75.905244110164119,42.923800843680397,0,10.609614005721664
181,49.636372111340918,23.872119138859421,0,10.248982099476368
182,65.942789916081765,20.174061076705716,0,11.645752881384309
183,46.34923150452093,23.460200947395062,0,11.476484673834557
184,63.630019011086375,27.941695825873754,0,8.1580574720940184
185,73.489421714794375,22.880277205982935,0,12.452940216779613
186,59.450058469630328,37.488845187085595,0,11.512843410376675
187,65.184034044536034,33.212997840314401,23.013818606461658,10.659733290484192
188,72.809214118624581,28.169584146186903,60,16.051801215538188
189,48.333957258397234,35.721135379270955,0,7.4725732280736015
190,47.370273009992545,30.670850108456079,0,12.017925333590304
191,-,-,-,-
192,52.864185057652463,29.251350728137883,0,12.450314528507612
193,51.441499131305996,31.907803019076137,0,11.11669793258473
194,64.985801808449139,38.250801742975398,10,13.87405398895358
195,49.802753941332391,19.787702405310494,20,8.213761334269261
196,64.778653948200656,18.743681721970152,0,10.154524048250948
197,53.463148969473842,31.420723521403929,20.735251270074521,13.418465808695036
198,65.977107037999289,25.93045316825803,0,15.175796185912665
199,76.097071872515187,21.284794884004427,5,6.1039360296705576
200,66.87338352934367,30.235973283856882,17.267681980377461,13.653182742675062
201,63.769236954409592,32.394590777148892,0,8.6207439957983265
202,80.970925278161772,15.498676129148786,0,13.072980327663812
203,61.467479929953178,23.57178968708342,15,6.5494609068351224
204,73.191659642678488,37.861249396046752,0,11.718852227694336
205,73.458352205047191,22.021154983694398,0,7.1747567300816639
206,74.01175188499694,25.181729051104995,0,11.157342448783147
207,75.534715278555609,44.097684962763978,60,12.587210747898625
208,64.592213573542622,28.350229991560518,20,8.9214953345890713
209,44.797162047231701,28.023668677814964,0,11.654704904649019
210,50.205207893397613,23.945300070337176,0,3
211,56.075302545566693,27.61069769940265,0,24.708550413714566
212,46.927688763359626,21.080095707728059,0,8.5848615260737038
213,56.744224150273411,30.85077542388288,0,11.108610337138392
214,54.577599844757955,31.312237531131586,0,6.4838457713911399
215,65.174967882069467,24.726167435149282,0,12.1796704879802
216,58.423602961767145,16.72162993097972,12.5,9.5002129091446772
217,57.066884254225215,30.124800283112737,0,9.9416626326890114
218,41.877099821351443,24.630813246091421,19,12.628437285499473
219,71.96519076719845,27.219473098932298,0,11.155448552923517
220,58.076600827956355,25.398605813436316,0,13.718031174358185
221,44.215800580475467,34.347354611350895,65,12.754756754658892
222,58.123694861162136,31.581509945312256,15.718108662394616,11.054319598615775
223,65.272551953344177,38.430042969233831,0,11.625225451567655
224,-,-,-,-
225,71.202684283651763,30.491387408968766,0,9.2104295918379293
226,56.084868739463779,31.634182294899254,0,9.9480152497738814
227,71.923344802445271,32.93039439079832,0,11.971651613308977
228,68.645678344340311,26.888171125342677,0,11.812159424397548
229,82.299304960431328,27.493435315897681,0,10.139336313764217
230,80.810827734688189,32.707412709305245,0,10.689781925505912
231,69.725277203649156,51.248098736383071,0,10.684120130993383
232,72.152898364485594,27.163681214217554,0,18.451083757310712
233,61.732018746880705,33.899210564588195,60,17.099198278652526
234,72.060884505073489,31.426805095947874,0,12.090413783607518
235,54.438425777184094,34.159166654892125,0,15.577592773103383
236,40.884441276684164,22.987044653627947,25,8.8363961614464817
