household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
14500046,145000461,1,55.84,1,4,2,3,0,2,2,0,1,2,1,0,1,0,0,1,N,2,44,2023,2018,,17712.04,3
14500051,145000511,1,55.84,1,4,1,1,0,1,0,0,1,1,1,0,0,0,0,1,N,5,20,2012,,,3000,1
14500055,145000551,1,55.84,1,5,2,3,0,1,3,1,1,1,1,1,1,2,1,1,N,1,48,2020,,,15500,1
14500056,145000561,1,55.84,1,2,2,1,0,1,0,0,1,1,1,1,1,0,0,0,N,4,25,2000,,,4684.43,3
14500058,145000581,1,55.84,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,N,5,22,2000,,,3797.13,3
14500060,145000601,1,55.84,1,3,2,2,0,0,2,0,1,1,1,0,1,1,0,1,N,3,35,,,,11000,1
14500063,145000631,1,55.84,1,3,2,1,0,1,0,0,1,1,1,0,1,0,0,0,N,5,21,1990,,,3500,1
14500065,145000651,1,55.84,1,1,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,19,,,,3077.89,3
14500066,145000661,1,55.84,1,2,1,2,0,1,1,0,1,1,1,0,1,0,1,2,N,3,33,2018,,,6000,1
14500072,145000721,1,55.84,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,N,4,28,2007,,,5779.08,3
14500077,145000771,1,55.84,1,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,N,5,21,1993,,,3400,1
14500081,145000811,1,55.84,1,4,2,2,0,1,1,0,1,1,1,0,1,0,0,0,N,3,31,2017,,,7129.53,3
14500091,145000911,1,55.84,1,1,2,2,0,1,1,0,1,1,1,0,1,0,1,0,N,3,33,1974,,,3000,1
14500093,145000931,1,55.84,1,1,3,1,0,1,0,0,1,0,0,0,1,0,0,0,N,5,20,2000,,,3301.06,3
